Gene_name	Species_name	Max_cov
ADAP2	Crotalus_enyo	23
ADAP2	Boiga_ceylonensis	18
ADAP2	Vipera_ursinii	18
ADAP2	Podarcis_lilfordi	18
ADAP2	Podarcis_cretensis	23
ADAP2	Podarcis_pityusensis	27
ADAP2	Podarcis_gaigeae	23
ADAP2	Podarcis_siculus	23
ADAP2	Podarcis_bocagei	27
ADAP2	Vipera_berus	18
ADAP2	Podarcis_melisellensis	18
ADAP2	Podarcis_erhardii	23
ADAP2	Malpolon_monspessulanus	36
ADAP2	Podarcis_filfolensis	27
ADAP2	Natrix_helvetica	41
ADAP2	Hemorrhois_hippocrepis	41
ADAP2	Podarcis_liolepis	27
ADAP2	Podarcis_vaucheri	27
ADAP2	Podarcis_tiliguerta	27
ADAP2	Python_bivittatus	18
ADAP2	Thamnophis_sirtalis	12
ADAP2	Gekko_japonicus	23
ADAP2	Protobothrops_mucrosquamatus	18
ADAP2	Podarcis_muralis	27
ADAP2	Varanus_komodoensis	18
ADAP2	Thamnophis_elegans	36
ADAP2	Lacerta_agilis	27
ADAP2	Sceloporus_undulatus	40
ADAP2	Sphaerodactylus_townsendi	17
ADAP2	Elgaria_multicarinata_webbii	30
ADAP2	Podarcis_raffonei	27
ADAP2	Hemicordylus_capensis	31
ADAP2	Eublepharis_macularius	11
ADAP2	Ahaetulla_prasina	32
ADAP2	Pituophis_catenifer_annectens	35
ADAP2	Pantherophis_guttatus	35
ADAP2	Euleptes_europaea	21
ADAP2	Rhineura_floridana	28
ADAP2	Erythrolamprus_reginae	35
ADAP2	Heteronotia_binoei	19
ADAP2	Tiliqua_scincoides	25
ADAP2	Candoia_aspera	21
ADAP2	Anolis_carolinensis	42
ADAP2	Anolis_sagrei	32
ADAP2	Pogona_vitticeps	13
ADAP2	Notechis_scutatus	32
ADAP2	Pseudonaja_textilis	22
ADAP2	Zootoca_vivipara	23
ADRA1B	Ophiophagus_hannah	57
ADRA1B	Crotalus_pyrrhus	46
ADRA1B	Crotalus_horridus	56
ADRA1B	Paroedura_picta	56
ADRA1B	Crotalus_viridis_viridis	57
ADRA1B	Protobothrops_flavoviridis	46
ADRA1B	Thermophis_baileyi	56
ADRA1B	Salvator_merianae	53
ADRA1B	Emydocephalus_ijimae	47
ADRA1B	Hydrophis_melanocephalus	40
ADRA1B	Laticauda_laticaudata	47
ADRA1B	Naja_naja	51
ADRA1B	Ptyas_mucosa	56
ADRA1B	Pantherophis_obsoletus	56
ADRA1B	Aspidoscelis_marmoratus	56
ADRA1B	Laticauda_colubrina	57
ADRA1B	Sceloporus_tristichus	53
ADRA1B	Myanophis_thanlyinensis	46
ADRA1B	Bothrops_jararaca	46
ADRA1B	Chrysopelea_ornata	47
ADRA1B	Hydrophis_cyanocinctus	57
ADRA1B	Phrynosoma_platyrhinos	53
ADRA1B	Calotes_versicolor	46
ADRA1B	Shinisaurus_crocodilurus	54
ADRA1B	Anilios_bituberculatus	46
ADRA1B	Tretioscincus_oriximinensis	56
ADRA1B	Calyptommatus_sinebrachiatus	54
ADRA1B	Arizona_elegans	56
ADRA1B	Diadophis_punctatus_similis	47
ADRA1B	Aspidoscelis_tigris_stejnegeri	56
ADRA1B	Sceloporus_occidentalis	54
ADRA1B	Charina_bottae	56
ADRA1B	Varanus_salvator_macromaculatus	50
ADRA1B	Bungarus_multicinctus	57
ADRA1B	Phrynocephalus_versicolor	53
ADRA1B	Vipera_latastei	56
ADRA1B	Daboia_siamensis	49
ADRA1B	Crotalus_helleri	56
ADRA1B	Psammodynastes_pulverulentus	56
ADRA1B	Phrynosoma_blainvillii	52
ADRA1B	Plestiodon_gilberti_rubricaudatus	53
ADRA1B	Simalia_boeleni	49
ADRA1B	Tropidonophis_doriae	48
ADRA1B	Morelia_viridis	56
ADRA1B	Imantodes_cenchoa	56
ADRA1B	Boaedon_fuliginosus	56
ADRA1B	Lerista_edwardsae	51
ADRA1B	Anniella_stebbinsi	54
ADRA1B	Lepidodactylus_listeri	57
ADRA1B	Phrynocephalus_forsythii	53
ADRA1B	Gekko_gecko	56
ADRA1B	Natrix_natrix_natrix	57
ADRA1B	Pantherophis_alleghaniensis	46
ADRA1B	Cyclura_pinguis	57
ADRA1B	Furcifer_pardalis	52
ADRA1B	Anolis_apletophallus	54
ADRA1B	Masticophis_lateralis	56
ADRA1B	Gambelia_wislizenii	55
ADRA1B	Liasis_olivaceus	56
ADRA1B	Simalia_tracyae	56
ADRA1B	Pseudoxenodon_macrops	51
ADRA1B	Trimeresurus_albolabris	56
ADRA1B	Mimophis_mahfalensis	56
ADRA1B	Aparallactus_werneri	51
ADRA1B	Acrochordus_granulatus	56
ADRA1B	Pareas_carinatus	56
ADRA1B	Grayia_smithii	56
ADRA1B	Calamaria_suluensis	47
ADRA1B	Oxyrhabdium_leporinum	56
ADRA1B	Toxicocalamus_goodenoughensis	57
ADRA1B	Cerberus_rynchops	56
ADRA1B	Stegonotus_admiraltiensis	56
ADRA1B	Pseudoxyrhopus_heterurus	57
ADRA1B	Hydrophis_major	57
ADRA1B	Hydrophis_elegans	57
ADRA1B	Urosaurus_nigricauda	53
ADRA1B	Bradypodion_ventrale	54
ADRA1B	Sibynophis_collaris	56
ADRA1B	Intellagama_lesueurii	54
ADRA1B	Hydrophis_curtus	57
ADRA1B	Hydrophis_ornatus	57
ADRA1B	Pantherophis_vulpinus	56
ADRA1B	Phrynocephalus_guinanensis	50
ADRA1B	Coluber_constrictor_foxii	56
ADRA1B	Rhabdophis_nuchalis	57
ADRA1B	Crotalus_adamanteus	56
ADRA1B	Correlophus_ciliatus	56
ADRA1B	Aipysurus_laevis	57
ADRA1B	Laudakia_wui	53
ADRA1B	Leptophis_mexicanus	56
ADRA1B	Xenodon_rabdocephalus	26
ADRA1B	Laemanctus_serratus	52
ADRA1B	Spondylurus_nitidus	54
ADRA1B	Acritoscincus_duperreyi	53
ADRA1B	Gonatodes_alexandermendesi	54
ADRA1B	Crotalus_ruber	56
ADRA1B	Asaccus_caudivolvulus	54
ADRA1B	Gallotia_galloti	56
ADRA1B	Bitis_arietans	46
ADRA1B	Naja_nigricollis	47
ADRA1B	Causus_rhombeatus	46
ADRA1B	Hemidactylus_brookii	50
ADRA1B	Micrurus_diastema	47
ADRA1B	Trioceros_balebicornutus	53
ADRA1B	Anolis_rodriguezii	53
ADRA1B	Acanthocercus_minutus	48
ADRA1B	Chamaeleo_dilepis	46
ADRA1B	Naja_haje	49
ADRA1B	Leptodeira_frenata	47
ADRA1B	Anolis_tropidonotus	54
ADRA1B	Bothrops_asper	46
ADRA1B	Xenagama_zonura	52
ADRA1B	Aspidoscelis_angusticeps	56
ADRA1B	Panaspis_annettesabinae	48
ADRA1B	Sceloporus_chrysostictus	54
ADRA1B	Trachylepis_brevicollis	54
ADRA1B	Acanthocercus_cyanogaster	48
ADRA1B	Psammophis_punctulatus	47
ADRA1B	Crotaphopeltis_hotamboeia	47
ADRA1B	Atractaspis_microlepidota	51
ADRA1B	Telescopus_dhara	47
ADRA1B	Trioceros_harennae	53
ADRA1B	Agama_finchi	46
ADRA1B	Trioceros_affinis	53
ADRA1B	Phrynonax_poecilonotus	53
ADRA1B	Chamaeleo_calyptratus	53
ADRA1B	Varanus_albigularis	56
ADRA1B	Trachylepis_striata	54
ADRA1B	Philothamnus_battersbyi	51
ADRA1B	Mochlus_sundevallii	55
ADRA1B	Naja_melanoleuca	47
ADRA1B	Thecadactylus_rapicauda	47
ADRA1B	Chamaeleo_laevigatus	46
ADRA1B	Crotalus_simus	46
ADRA1B	Agama_doriae	50
ADRA1B	Psammophis_sibilans	47
ADRA1B	Coniophanes_imperialis	47
ADRA1B	Imantodes_gemmistratus	47
ADRA1B	Trachylepis_maculilabris	54
ADRA1B	Drymobius_margaritiferus	47
ADRA1B	Varanus_niloticus	56
ADRA1B	Anilius_scytale	46
ADRA1B	Chamaeleo_gracilis	46
ADRA1B	Natriciteres_olivacea	47
ADRA1B	Sphaerodactylus_glaucus	47
ADRA1B	Bachia_flavescens	48
ADRA1B	Tropidodipsas_fasciata	46
ADRA1B	Hemidactylus_macropholis	46
ADRA1B	Nerodia_floridana	47
ADRA1B	Pseudelaphe_flavirufa	46
ADRA1B	Marisora_unimarginata	47
ADRA1B	Imantodes_tenuissimus	47
ADRA1B	Latastia_doriai	49
ADRA1B	Atractaspis_fallax	47
ADRA1B	Acanthocercus_guentherpetersi	53
ADRA1B	Ninia_diademata	46
ADRA1B	Cordylus_rivae	56
ADRA1B	Dasypeltis_abyssina	47
ADRA1B	Hydrophis_schistosus	47
ADRA1B	Hypnale_hypnale	46
ADRA1B	Anolis_lemurinus	53
ADRA1B	Micrurus_fulvius	47
ADRA1B	Daboia_russelii	56
ADRA1B	Aparallactus_lunulatus	47
ADRA1B	Thamnophis_saurita	49
ADRA1B	Bofa_erlangeri	51
ADRA1B	Ninia_sebae	46
ADRA1B	Amphiesma_stolatum	48
ADRA1B	Basiliscus_vittatus	53
ADRA1B	Ophisaurus_attenuatus	54
ADRA1B	Bungarus_caeruleus	47
ADRA1B	Mesoscincus_schwartzei	56
ADRA1B	Bungarus_ceylonicus	47
ADRA1B	Tarentola_annularis	56
ADRA1B	Boiga_trigonata	47
ADRA1B	Oligodon_sublineatus	47
ADRA1B	Lycodon_aulicus	47
ADRA1B	Ahaetulla_pulverulenta	47
ADRA1B	Ahaetulla_nasuta	47
ADRA1B	Siphlophis_compressus	46
ADRA1B	Fowlea_piscator	48
ADRA1B	Fowlea_asperrima	51
ADRA1B	Boa_constrictor	46
ADRA1B	Dendrelaphis_bifrenalis	51
ADRA1B	Kentropyx_calcarata	47
ADRA1B	Oligodon_taeniolatus	47
ADRA1B	Anolis_sericeus	54
ADRA1B	Bothrops_atrox	46
ADRA1B	Holcosus_undulatus	56
ADRA1B	Anolis_planiceps	52
ADRA1B	Ameiva_ameiva	57
ADRA1B	Acanthocercus_annectans	52
ADRA1B	Corallus_caninus	46
ADRA1B	Acanthocercus_atricollis	46
ADRA1B	Dendrelaphis_caudolineolatus	47
ADRA1B	Geophis_sartorii	46
ADRA1B	Hemidactylus_flaviviridis	49
ADRA1B	Cerastes_gasperettii	56
ADRA1B	Boiga_barnesii	47
ADRA1B	Rhinophis_saffragamus	46
ADRA1B	Morelia_carinata	46
ADRA1B	Sibynophis_subpunctatus	47
ADRA1B	Aspidura_guentheri	51
ADRA1B	Agkistrodon_piscivorus	46
ADRA1B	Corytophanes_hernandesii	41
ADRA1B	Cachryx_defensor	49
ADRA1B	Crotalus_mitchellii	46
ADRA1B	Coniophanes_schmidti	47
ADRA1B	Vipera_ammodytes	56
ADRA1B	Dendrelaphis_tristis	47
ADRA1B	Varanus_macraei	2
ADRA1B	Tiliqua_occipitalis	5
ADRA1B	Crotalus_aquilus	46
ADRA1B	Lycodon_carinatus	47
ADRA1B	Boiga_beddomei	51
ADRA1B	Trimeresurus_trigonocephalus	56
ADRA1B	Tupinambis_teguixin	32
ADRA1B	Crotalus_enyo	46
ADRA1B	Boiga_ceylonensis	51
ADRA1B	Vipera_ursinii	56
ADRA1B	Podarcis_lilfordi	56
ADRA1B	Podarcis_cretensis	56
ADRA1B	Podarcis_pityusensis	56
ADRA1B	Podarcis_gaigeae	56
ADRA1B	Podarcis_siculus	56
ADRA1B	Podarcis_bocagei	56
ADRA1B	Vipera_berus	56
ADRA1B	Podarcis_melisellensis	56
ADRA1B	Podarcis_erhardii	56
ADRA1B	Malpolon_monspessulanus	56
ADRA1B	Podarcis_filfolensis	56
ADRA1B	Natrix_helvetica	57
ADRA1B	Hemorrhois_hippocrepis	56
ADRA1B	Podarcis_liolepis	56
ADRA1B	Podarcis_vaucheri	56
ADRA1B	Podarcis_tiliguerta	56
ADRA1B	Python_bivittatus	56
ADRA1B	Thamnophis_sirtalis	56
ADRA1B	Gekko_japonicus	56
ADRA1B	Protobothrops_mucrosquamatus	44
ADRA1B	Podarcis_muralis	56
ADRA1B	Varanus_komodoensis	57
ADRA1B	Thamnophis_elegans	56
ADRA1B	Lacerta_agilis	56
ADRA1B	Sceloporus_undulatus	55
ADRA1B	Sphaerodactylus_townsendi	56
ADRA1B	Elgaria_multicarinata_webbii	54
ADRA1B	Podarcis_raffonei	56
ADRA1B	Hemicordylus_capensis	56
ADRA1B	Eublepharis_macularius	55
ADRA1B	Ahaetulla_prasina	56
ADRA1B	Pituophis_catenifer_annectens	56
ADRA1B	Pantherophis_guttatus	56
ADRA1B	Euleptes_europaea	57
ADRA1B	Rhineura_floridana	56
ADRA1B	Erythrolamprus_reginae	56
ADRA1B	Heteronotia_binoei	57
ADRA1B	Tiliqua_scincoides	54
ADRA1B	Candoia_aspera	56
ADRA1B	Anolis_carolinensis	54
ADRA1B	Anolis_sagrei	54
ADRA1B	Pogona_vitticeps	54
ADRA1B	Notechis_scutatus	49
ADRA1B	Pseudonaja_textilis	57
