Gene_name	Species_name	GC_Stretch
ADAP2	Nyctereutes_procyonoides	4.22972972972973
ADAP2	Choloepus_didactylus	4.18390804597701
ADAP2	Trachemys_scripta_elegans	3.90769230769231
ADAP2	Meriones_unguiculatus	3.97402597402597
ADAP2	Panthera_uncia	4.25974025974026
ADAP2	Falco_rusticolus	3.81034482758621
ADAP2	Apteryx_rowi	3.4047619047619
ADAP2	Pteronotus_mesoamericanus	4.10843373493976
ADAP2	Pezoporus_occidentalis	3.75925925925926
ADAP2	Passer_montanus	4.52238805970149
ADAP2	Peromyscus_leucopus	4.12
ADAP2	Protopterus_annectens	3.6
ADAP2	Camelus_ferus	4.32876712328767
ADAP2	Myotis_yumanensis	4.35
ADAP2	Pezoporus_flaviventris	3.65454545454545
ADAP2	Cebus_imitator	4.05263157894737
ADAP2	Aptenodytes_forsteri	3.575
ADAP2	Oenanthe_melanoleuca	3.91489361702128
ADAP2	Camelus_bactrianus	4.10526315789474
ADAP2	Marmota_marmota_marmota	3.8974358974359
ADAP2	Alligator_mississippiensis	4.10344827586207
ADAP2	Suricata_suricatta	4.28
ADAP2	Centrocercus_urophasianus	3.76923076923077
ADAP2	Lutra_lutra	4.1625
ADAP2	Canis_lupus_familiaris	4.14285714285714
ADAP2	Lipotes_vexillifer	4.14102564102564
ADAP2	Ranitomeya_imitator	4.20588235294118
ADAP2	Pseudorca_crassidens	4.10714285714286
ADAP2	Phyllostomus_hastatus	4.09876543209877
ADAP2	Nipponia_nippon	3.65
ADAP2	Pezoporus_wallicus	3.65454545454545
ADAP2	Vidua_chalybeata	4.36986301369863
ADAP2	Hipposideros_armiger	4.07954545454545
ADAP2	Mustela_nigripes	4.15789473684211
ADAP2	Falco_cherrug	3.81034482758621
ADAP2	Lagenorhynchus_albirostris	4.13978494623656
ADAP2	Saimiri_boliviensis	4.06493506493506
ADAP2	Equus_asinus	4.19230769230769
ADAP2	Odocoileus_virginianus	4.03846153846154
ADAP2	Equus_przewalskii	4.17948717948718
ADAP2	Crocodylus_porosus	3.91666666666667
ADAP2	Perognathus_longimembris_pacificus	4.10958904109589
ADAP2	Oryctolagus_cuniculus	4.38461538461539
ADAP2	Rhinopithecus_bieti	4.04
ADAP2	Phyllostomus_discolor	4.19101123595506
ADAP2	Hylobates_moloch	4.09459459459459
ADAP2	Ammospiza_nelsoni	3.71428571428571
ADAP2	Cynocephalus_volans	4.13698630136986
ADAP2	Agelaius_phoeniceus	3.75510204081633
ADAP2	Elephas_maximus_indicus	4.0625
ADAP2	Pyrgilauda_ruficollis	3.67272727272727
ADAP2	Microcaecilia_unicolor	3.78571428571429
ADAP2	Pan_paniscus	4.03896103896104
ADAP2	Hippopotamus_amphibius_kiboko	4.16091954022988
ADAP2	Melozone_crissalis	3.7
ADAP2	Chiroxiphia_lanceolata	3.81666666666667
ADAP2	Numida_meleagris	3.67272727272727
ADAP2	Bos_taurus	4.09722222222222
ADAP2	Haemorhous_mexicanus	4.53086419753086
ADAP2	Apodemus_sylvaticus	3.81818181818182
ADAP2	Zalophus_californianus	4.17283950617284
ADAP2	Calidris_pugnax	3.78947368421053
ADAP2	Cyrtonyx_montezumae	3.89655172413793
ADAP2	Camarhynchus_parvulus	3.68627450980392
ADAP2	Dermochelys_coriacea	3.77049180327869
ADAP2	Suncus_etruscus	4.20833333333333
ADAP2	Phoca_vitulina	4.04819277108434
ADAP2	Myotis_brandtii	4.04838709677419
ADAP2	Melanerpes_formicivorus	3.75409836065574
ADAP2	Mesocricetus_auratus	4.06976744186047
ADAP2	Ceratotherium_simum_simum	3.98275862068966
ADAP2	Lathamus_discolor	3.67272727272727
ADAP2	Sapajus_apella	4.06976744186047
ADAP2	Anser_cygnoides	4.72727272727273
ADAP2	Cercocebus_atys	3.9620253164557
ADAP2	Dipodomys_spectabilis	4.2
ADAP2	Mustela_lutreola	4.11392405063291
ADAP2	Nycticebus_coucang	4.22666666666667
ADAP2	Phodopus_roborovskii	3.85507246376812
ADAP2	Cygnus_olor	4.80357142857143
ADAP2	Petaurus_breviceps_papuanus	3.63768115942029
ADAP2	Ursus_arctos	4.04878048780488
ADAP2	Opisthocomus_hoazin	3.48780487804878
ADAP2	Panthera_tigris	4.28
ADAP2	Lagopus_muta	3.75925925925926
ADAP2	Galeopterus_variegatus	3.81132075471698
ADAP2	Talpa_occidentalis	4.06410256410256
ADAP2	Egretta_garzetta	3.48275862068966
ADAP2	Delphinus_delphis	4.03614457831325
ADAP2	Bufo_bufo	4.06451612903226
ADAP2	Monodelphis_domestica	3.8
ADAP2	Haliaeetus_leucocephalus	3.8
ADAP2	Corapipo_altera	3.77586206896552
ADAP2	Pteropus_giganteus	4.21917808219178
ADAP2	Leopardus_geoffroyi	4.33333333333333
ADAP2	Rattus_rattus	3.83561643835616
ADAP2	Xenopus_tropicalis	4.02857142857143
ADAP2	Dendropsophus_ebraccatus	3.96825396825397
ADAP2	Aphelocoma_coerulescens	3.70588235294118
ADAP2	Sorex_fumeus	4.34567901234568
ADAP2	Eptesicus_fuscus	4.28048780487805
ADAP2	Rissa_tridactyla	3.86206896551724
ADAP2	Gracilinanus_agilis	3.93827160493827
ADAP2	Acomys_russatus	3.76530612244898
ADAP2	Tursiops_truncatus	4.10714285714286
ADAP2	Macaca_mulatta	4
ADAP2	Colius_striatus	3.81034482758621
ADAP2	Myiozetetes_cayanensis	3.56603773584906
ADAP2	Meles_meles	4.175
ADAP2	Grus_americana	3.75
ADAP2	Sus_scrofa	4.23333333333333
ADAP2	Lynx_rufus	4.28947368421053
ADAP2	Rhinatrema_bivittatum	3.79365079365079
ADAP2	Mustela_erminea	4.14285714285714
ADAP2	Prinia_subflava	3.7037037037037
ADAP2	Ochotona_princeps	4
ADAP2	Peromyscus_maniculatus_bairdii	3.97402597402597
ADAP2	Ficedula_albicollis	3.86538461538462
ADAP2	Manis_pentadactyla	4.2027027027027
ADAP2	Mus_caroli	3.79487179487179
ADAP2	Vidua_macroura	4.36111111111111
ADAP2	Mandrillus_leucophaeus	4.35051546391753
ADAP2	Parus_major	3.71428571428571
ADAP2	Prionailurus_bengalensis	4.32
ADAP2	Erinaceus_europaeus	3.88732394366197
ADAP2	Tympanuchus_pallidicinctus	4.32954545454545
ADAP2	Halichoerus_grypus	4.17073170731707
ADAP2	Ailuropoda_melanoleuca	4.03636363636364
ADAP2	Myotis_lucifugus	3.88888888888889
ADAP2	Dama_dama	4.02631578947368
ADAP2	Bison_bison_bison	4.02739726027397
ADAP2	Puma_yagouaroundi	4.26582278481013
ADAP2	Lagenorhynchus_obliquidens	4.18072289156626
ADAP2	Eumetopias_jubatus	4.15789473684211
ADAP2	Chinchilla_lanigera	4.43023255813953
ADAP2	Leptosomus_discolor	3.56862745098039
ADAP2	Taeniopygia_guttata	4.43037974683544
ADAP2	Neophocaena_asiaeorientalis_asiaeorientalis	4.08860759493671
ADAP2	Chamaea_fasciata	3.78846153846154
ADAP2	Vicugna_pacos	4.12
ADAP2	Orcinus_orca	4.13414634146341
ADAP2	Eubalaena_glacialis	4.11111111111111
ADAP2	Manacus_candei	3.86885245901639
ADAP2	Falco_peregrinus	3.81034482758621
ADAP2	Ammospiza_caudacuta	3.75
ADAP2	Globicephala_melas	4.08433734939759
ADAP2	Grammomys_surdaster	3.89041095890411
ADAP2	Mauremys_reevesii	4.09677419354839
ADAP2	Coturnix_japonica	3.7037037037037
ADAP2	Rhinolophus_ferrumequinum	4.13333333333333
ADAP2	Moschus_berezovskii	4.24324324324324
ADAP2	Arvicanthis_niloticus	3.81012658227848
ADAP2	Sylvia_atricapilla	3.81818181818182
ADAP2	Spea_bombifrons	3.72727272727273
ADAP2	Meleagris_gallopavo	3.59090909090909
ADAP2	Canis_lupus_dingo	4.14285714285714
ADAP2	Phocoena_phocoena	4.07594936708861
ADAP2	Piliocolobus_tephrosceles	4.0958904109589
ADAP2	Capricornis_sumatraensis	4.06944444444444
ADAP2	Psammomys_obesus	4
ADAP2	Loxodonta_africana	4.02970297029703
ADAP2	Corvus_hawaiiensis	3.69387755102041
ADAP2	Microtus_ochrogaster	3.96969696969697
ADAP2	Pongo_abelii	4.03947368421053
ADAP2	Microtus_oregoni	4
