Gene,Pantherophis_guttatus,Pituophis_catenifer_annectens,Thamnophis_elegans,Thamnophis_sirtalis,Ahaetulla_prasina,Crotalus_tigris,Protobothrops_mucrosquamatus,Notechis_scutatus,Pseudonaja_textilis,Erythrolamprus_reginae,Python_bivittatus,Candoia_aspera,Anolis_sagrei,Anolis_carolinensis,Sceloporus_undulatus,Pogona_vitticeps,Varanus_komodoensis,Elgaria_multicarinata_webbii,Podarcis_muralis,Podarcis_raffonei,Zootoca_vivipara,Lacerta_agilis,Rhineura_floridana,Tiliqua_scincoides,Hemicordylus_capensis,Sphaerodactylus_townsendi,Euleptes_europaea,Heteronotia_binoei,Gekko_japonicus,Eublepharis_macularius,Alligator_mississippiensis,Gallus_gallus,Chelonia_mydas,Homo_sapiens,Xenopus_tropicalis
AXL-558,LQP,Intact,Intact,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,LQP,LQP,Missing,Intact,Intact,Intact
AZU1-566,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
B4GALT1-2683,Intact,LQP,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
BAP1-8314,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
BCR-613,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,LQP,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
BGLAP-632,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Missing,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact
BMP4-652,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,LQP,Intact,Intact,Intact,Intact,Intact
BPI-671,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact
C1QA-712,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact
C1QC-714,Intact,Missing,Missing,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
C3AR1-719,Intact,Intact,Missing,Missing,Intact,Missing,Intact,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Intact,LQP,Intact,Missing,Intact,Intact,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Intact,Intact
C5-727,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
C5AR1-728,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Missing,Missing,Intact,Missing,Missing,Missing,Intact,Missing,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Missing,Missing,Intact,Intact,Intact
CALCA-796,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CALHM2-51063,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CARD8-22900,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CARD9-64170,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact
CASP10-843,Missing,Intact,Missing,Intact,Missing,Intact,Intact,Missing,Intact,Intact,Missing,Intact,Missing,Intact,Intact,Missing,Intact,Intact,Missing,Intact,Missing,Intact,Missing,Missing,Intact,Intact,Missing,Intact,Missing,Missing,Missing,Intact,Missing,Intact,Intact
CASP8-841,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CCL23-6368,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CCL2-6347,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
