Gene,Pantherophis_guttatus,Pituophis_catenifer_annectens,Thamnophis_elegans,Thamnophis_sirtalis,Ahaetulla_prasina,Crotalus_tigris,Protobothrops_mucrosquamatus,Notechis_scutatus,Pseudonaja_textilis,Erythrolamprus_reginae,Python_bivittatus,Candoia_aspera,Anolis_sagrei,Anolis_carolinensis,Sceloporus_undulatus,Pogona_vitticeps,Varanus_komodoensis,Elgaria_multicarinata_webbii,Podarcis_muralis,Podarcis_raffonei,Zootoca_vivipara,Lacerta_agilis,Rhineura_floridana,Tiliqua_scincoides,Hemicordylus_capensis,Sphaerodactylus_townsendi,Euleptes_europaea,Heteronotia_binoei,Gekko_japonicus,Eublepharis_macularius,Alligator_mississippiensis,Gallus_gallus,Chelonia_mydas,Homo_sapiens,Xenopus_tropicalis
CLU-1191,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CMKLR1-1240,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CNN2-1265,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
COLEC12-81035,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
COPS5-10987,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CREB3-10488,Intact,Intact,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Missing
CRP-1401,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,LQP-Intact,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CRTC3-64784,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact
CSF1-1435,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing
CSF1R-1436,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CSF2-1437,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CSF2RA-1438,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Missing
CSF2RB-1439,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP-Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Missing,Missing,Missing,Intact,Intact
CST7-8530,Intact,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Missing,Intact,Missing,Intact,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CTSC-1075,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,LQP,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CTSL-1514,Intact,Intact,Intact,Missing,Intact,Intact,Missing,Intact,Intact,Intact,Intact,Intact,Missing,Missing,Intact,Intact,Missing,Missing,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact,Intact
CUEDC2-79004,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Intact,Intact,Intact,LQP,Missing,Missing,Intact,LQP,Missing,LQP,Intact,Intact,Intact,Intact,Intact,Intact
