test	back	pval	kval
Gallus_gallus	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.5010	0.86
Homo_sapiens	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.8525	1.04
Hyla_sarda	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.4500	1.18
Latimeria_chalumnae	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Node8`	0.2409	0.78
Loxodonta_africana	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	1.0000	0.98
Mus_musculus	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.0296	0.77
Orcinus_orca	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.0143	0.63
Ornithorhynchus_anatinus	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.9261	1.02
Oryzias_melastigma	`Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.0000	50.00
Phascolarctos_cinereus	`Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Node4,Node2,Danio_rerio,Bufo_bufo,Hyla_sarda,Node12,Rana_temporaria,Node11,Xenopus_tropicalis,Node10,Canis_lupus,Equus_caballus,Node25,Orcinus_orca,Node24,Rhinolophus_ferrumequinum,Node23,Mus_musculus,Homo_sapiens,Node30,Node22,Loxodonta_africana,Node21,Node19,Ornithorhynchus_anatinus,Node18,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Node42,Node40,Node38,Rhineura_floridana,Node37,Sphenodon_punctatus,Node36,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Node53,Node51,Cygnus_olor,Gallus_gallus,Node56,Node50,Node48,Caretta_caretta,Dermochelys_coriacea,Node59,Node47,Node35,Node17,Node9,Latimeria_chalumnae,Node8`	0.4141	0.89
