Group	Codon freq	Foreground Species	Background Species	ω value M0	lnL M0	np M0	ω value branch neutral foreground	ω value branch neutral background	lnL bneutral	np bneutral	ω value branchfree foreground	ω value branchfree background	lnL bfree	np bfree	pvalm0_bfree	pavalbne_bfree	adjusted_pvalm0_bfree	adjusted_pavalbne_bfree	Inference
CSF1R	F1x4	Caretta_caretta	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Danio_rerio,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Cygnus_olor,Gallus_gallus,Dermochelys_coriacea,Latimeria_chalumnae	0.2474	-42780.46895	64	1	0.2466	-42782.56416	64	0.39642	0.24681	-42779.51399	65	0.1669725898	0.01351554164	0.3447176048	0.01418024041	non-significant
CSF1R	F3x4	Caretta_caretta	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Danio_rerio,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Cygnus_olor,Gallus_gallus,Dermochelys_coriacea,Latimeria_chalumnae	0.21761	-42969.40719	64	1	0.2167	-42971.3253	64	0.37875	0.21695	-42968.10791	65	0.1069612648	0.0111907269	0.2632892671	0.01193677536	non-significant
CSF1R	F1x4	Cygnus_olor	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Danio_rerio,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Gallus_gallus,Caretta_caretta,Dermochelys_coriacea,Latimeria_chalumnae	0.2474	-42780.46895	64	1	0.24598	-42791.5451	64	0.33	0.24648	-42779.5523	65	0.1757392052	9.71E-07	0.3458684703	1.27E-06	non-significant
CSF1R	F3x4	Cygnus_olor	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Danio_rerio,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Gallus_gallus,Caretta_caretta,Dermochelys_coriacea,Latimeria_chalumnae	0.21761	-42969.40719	64	1	0.21603	-42981.36011	64	0.30488	0.2166	-42968.16647	65	0.115197766	2.79E-07	0.2730613713	3.73E-07	non-significant
CSF1R	F1x4	Danio_rerio	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Cygnus_olor,Gallus_gallus,Caretta_caretta,Dermochelys_coriacea,Latimeria_chalumnae	0.2474	-42780.46895	64	1	0.24368	-42832.49206	64	0.10244	0.25354	-42765.99934	65	7.47E-08	9.11E-31	7.97E-07	1.17E-29	Fg-Intensification of purifying selection
CSF1R	F3x4	Danio_rerio	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Cygnus_olor,Gallus_gallus,Caretta_caretta,Dermochelys_coriacea,Latimeria_chalumnae	0.21761	-42969.40719	64	1	0.21436	-43028.77567	64	0.04989	0.22426	-42944.58789	65	1.85E-12	1.67E-38	3.94E-11	3.57E-37	Fg-Intensification of purifying selection
CSF1R	F1x4	Dermochelys_coriacea	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Danio_rerio,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Cygnus_olor,Gallus_gallus,Caretta_caretta,Latimeria_chalumnae	0.2474	-42780.46895	64	1	0.24645	-42778.8095	64	0.6315	0.24659	-42778.47373	65	0.04575922201	0.4125138158	0.1541363268	0.4190616541	non-significant
CSF1R	F3x4	Dermochelys_coriacea	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Danio_rerio,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Equus_caballus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Cygnus_olor,Gallus_gallus,Caretta_caretta,Latimeria_chalumnae	0.21761	-42969.40719	64	1	0.21663	-42967.24888	64	0.62534	0.21676	-42966.92745	65	0.02594803907	0.422674157	0.1037921563	0.422674157	non-significant
CSF1R	F1x4	Equus_caballus	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Danio_rerio,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Cygnus_olor,Gallus_gallus,Caretta_caretta,Dermochelys_coriacea,Latimeria_chalumnae	0.2474	-42780.46895	64	1	0.24713	-42803.54132	64	0.241	0.24749	-42780.46066	65	0.897551053	1.09E-11	0.9608300579	1.94E-11	non-significant
CSF1R	F3x4	Equus_caballus	Oryzias_melastigma,Poecilia_reticulata,Poecilia_formosa,Danio_rerio,Bufo_bufo,Hyla_sarda,Rana_temporaria,Xenopus_tropicalis,Phascolarctos_cinereus,Canis_lupus,Orcinus_orca,Rhinolophus_ferrumequinum,Mus_musculus,Homo_sapiens,Loxodonta_africana,Ornithorhynchus_anatinus,Thamnophis_elegans,Varanus_komodoensis,Anolis_carolinensis,Pogona_vitticeps,Rhineura_floridana,Sphenodon_punctatus,Alligator_mississippiensis,Calypte_anna,Rissa_tridactyla,Taeniopygia_guttata,Cygnus_olor,Gallus_gallus,Caretta_caretta,Dermochelys_coriacea,Latimeria_chalumnae	0.21761	-42969.40719	64	1	0.21752	-42999.49601	64	0.19128	0.21801	-42969.2063	65	0.5261714197	7.07E-15	0.6375581088	1.88E-14	non-significant
