Gene_name	Group	Species_name	GC_content	GC_Stretch
il34	Actinopterygii	Syngnathus_acus	48.47	 3.56666666666667
il34	Actinopterygii	Pungitius_pungitius	52.29	 3.61290322580645
il34	Actinopterygii	Nematolebias_whitei	53.98	 3.91428571428571
il34	Actinopterygii	Sebastes_umbrosus	51.90	 3.61111111111111
il34	Actinopterygii	Cyprinodon_tularosa	54.50	 3.9047619047619
il34	Actinopterygii	Micropterus_salmoides	51.29	 3.56756756756757
il34	Actinopterygii	Salvelinus_namaycush	49.76	 3.5
il34	Actinopterygii	Pimephales_promelas	42.65	 3.52173913043478
il34	Actinopterygii	Polypterus_senegalus	48.78	 3.28571428571429
il34	Actinopterygii	Perca_fluviatilis	52.45	 3.66666666666667
il34	Actinopterygii	Simochromis_diagramma	47.53	 3.51851851851852
il34	Actinopterygii	Xiphias_gladius	50.84	 3.48717948717949
il34	Actinopterygii	Gasterosteus_aculeatus	57.30	 4.23076923076923
il34	Actinopterygii	Toxotes_jaculatrix	51.75	 3.54285714285714
il34	Actinopterygii	Cheilinus_undulatus	51.60	 3.69444444444444
il34	Actinopterygii	Chelmon_rostratus	50.93	 3.36111111111111
il34	Actinopterygii	Melanotaenia_boesemani	48.36	 3.60714285714286
il34	Actinopterygii	Alosa_sapidissima	48.40	 3.66666666666667
il34	Actinopterygii	Thunnus_maccoyii	51.29	 3.54285714285714
il34	Actinopterygii	Plectropomus_leopardus	51.93	 3.63157894736842
il34	Actinopterygii	Puntigrus_tetrazona	42.18	 3.45454545454545
il34	Actinopterygii	Solea_senegalensis	53.75	 3.56521739130435
il34	Actinopterygii	Gambusia_affinis	53.10	 3.80952380952381
il34	Actinopterygii	Siniperca_chuatsi	52.05	 3.69444444444444
il34	Actinopterygii	Thunnus_albacares	51.29	 3.51428571428571
il34	Actinopterygii	Micropterus_dolomieu	50.99	 3.52777777777778
il34	Actinopterygii	Oncorhynchus_gorbuscha	48.78	 3.44444444444444
il34	Actinopterygii	Scatophagus_argus	50.94	 3.56756756756757
il34	Actinopterygii	Silurus_meridionalis	41.55	 3.13636363636364
il34	Actinopterygii	Hypomesus_transpacificus	52.47	 3.67567567567568
il34	Actinopterygii	Girardinichthys_multiradiatus	50.00	 3.525
il34	Actinopterygii	Mugil_cephalus	53.18	 3.72093023255814
il34	Actinopterygii	Megalobrama_amblycephala	43.44	 3.56
