Group	Class	Order	species	gene_status	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Amphibia	Anura	Xenopus_tropicalis	Xenopus_tropicalis	1	595	20171	142552	238161	332737	0	122367	217976	312552	81375	176984	271560	27305	121881	9610
Aves		Anas_acuta	Anas_acuta	1	123	13529	49231	61255	103214	0	34810	46834	88793	9626	21650	63609	1981	43940	307
Aves	Anseriformes	Anas_platyrhynchos	Anas_platyrhynchos	1	140	14288	50355	62296	103932	0	35205	47146	88782	10067	22008	63644	1943	43579	294
Aves	Anseriformes	Anser_cygnoides	Anser_cygnoides	1	162	15930	51395	63467	114045	158	35623	47695	98273	9696	21768	72346	2374	52952	251
Aves	Apterygiformes	Apteryx_mantelli	Apteryx_mantelli	1	480	18495	70339	89729	197396	273	52117	71507	179174	20588	39978	147645	3048	110715	208
Aves	Accipitriformes	Aquila_chrysaetos	Aquila_chrysaetos	1	381	16427	62942	77026	142417	147	46662	60746	126137	16254	30338	95729	1988	67379	152
Aves	Anseriformes	Aythya_fuligula	Aythya_fuligula	1	245	14658	49121	59899	106041	358	34821	45599	91741	10137	20915	67057	2213	48355	394
Aves	Columbiformes	Caloenas_nicobarica	Caloenas_nicobarica	1	364	16651	61750	76592	140714	269	45368	60210	124332	15129	29971	94093	1873	65995	233
Aves	Passeriformes	Camarhynchus_parvulus	Camarhynchus_parvulus	1	338	13982	56575	69651	131031	238	42831	55907	117287	13533	26609	87989	1768	63148	2446
Aves	Columbiformes	Columba_livia	Columba_livia	1	347	16530	60101	75783	137590	43	43614	59296	121103	13647	29329	91136	1707	63514	104
Aves	Passeriformes	Corvus_cornix	Corvus_cornix	1	312	15338	58265	72119	137277	272	43199	57053	122211	13612	27466	92624	1864	67022	0
Aves	Passeriformes	Corvus_hawaiiensis	Corvus_hawaiiensis	1	315	15389	58436	72258	152667	251	43298	57120	137529	13690	27512	107921	1857	82266	552
Aves	Galliformes	Coturnix_japonica	Coturnix_japonica	1	286	14705	51748	63576	113578	59	37102	48930	98932	9454	21282	71284	1436	51438	288
Aves	Anseriformes	Cygnus_atratus	Cygnus_atratus	1	159	15878	51793	62694	114507	194	36109	47010	98823	10238	21139	72952	2457	54270	311
Aves	Casuariiformes	Dromaius_novaehollandiae	Dromaius_novaehollandiae	1	381	18012	65435	87257	196850	124	47547	69369	178962	16491	38313	147906	2553	112146	213
Aves	Falconiformes	Falco_rusticolus	Falco_rusticolus	1	388	16308	59576	73257	138982	196	43464	57145	122870	12583	26264	91989	1894	67619	1206
Aves	Galliformes	Gallus_gallus	Gallus_gallus	1	276	15172	52307	65396	116913	236	37371	50460	101977	8746	21835	73352	1643	53160	556
Aves	Gruiformes	Grus_americana	Grus_americana	1	342	16172	61193	76510	138734	245	45266	60583	122807	15791	31108	93332	1903	64127	129
Aves	Psittaciformes	Melopsittacus_undulatus	Melopsittacus_undulatus	1	360	16423	60613	73895	144688	229	44419	57701	128494	13659	26941	97734	1759	72552	3904
Aves	Passeriformes	Molothrus_aeneus	Molothrus_aeneus	1	324	14600	55986	70747	140359	259	41645	56406	126018	12292	27053	96665	1873	71485	10119
Aves	Passeriformes	Pseudopipra_pipra	Pseudopipra_pipra	1	246	15806	64281	79033	136573	264	48739	63491	121031	19273	34025	91565	1899	59439	1696
Aves	Rheiformes	Rhea_pennata	Rhea_pennata	1	388	17453	59118	76383	177978	248	41913	59178	160773	10765	28030	129625	2058	103653	173
Aves	Charadriiformes	Rissa_tridactyla	Rissa_tridactyla	1	368	17023	64523	79358	149783	233	47733	62568	132993	17032	31867	102292	2376	72801	167
Aves	Psittaciformes	Strigops_habroptila	Strigops_habroptila	1	352	17985	69587	78966	143596	0	51000	60379	125009	22844	32223	96853	1531	66161	392
Chondrichthyes	Rajiformes	Amblyraja_radiata	Amblyraja_radiata	1	1608	49106	230227	398575	706394	9664	190785	359133	855644	139515	307863	903142	30706	1084263	1252611
Chondrichthyes	Myliobatiformes	Mobula_hypostoma	Mobula_hypostoma	1	22517	118280	509445	765867	1641622	20418	411583	668005	2034758	331124	587546	2130521	65716	2521686	2778108
Chondrichthyes	Torpediniformes	Narcine_bancroftii	Narcine_bancroftii	1	23672	168846	507530	787609	2300985	71156	409840	689919	2767779	286965	567044	2912953	50277	3251637	3531716
