Group	Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Amphibia	Amphibia	Anura	Ranitomeya_imitator	Ranitomeya_imitator	0	44883	113196	239379	270018	10	68323	194506	225145	54842	181025	211664	56478	87117	1057
Amphibia	Amphibia	Gymnophiona	Rhinatrema_bivittatum	Rhinatrema_bivittatum	10	154553	27341531	27686905	28239880	192	27187170	27532544	28085519	26938997	27284371	27837346	74015	626990	27974
Amphibia	Amphibia	Anura	Spea_bombifrons	Spea_bombifrons	0	10180	35322	60960	248069	39	25181	50819	237928	13978	39616	226725	2267	189376	174803
Amphibia	Amphibia	Anura	Xenopus_tropicalis	Xenopus_tropicalis	595	20171	142552	238161	332737	0	122367	217976	312552	81375	176984	271560	27305	121881	9610
Aves	Aves	Accipitriformes	Accipiter_gentilis	Accipiter_gentilis	14656031	14625653	14597195	14529475	14367153	107	45014	60870	126790	14636	30492	96412	2034	67954	234
Aves	Aves	Passeriformes	Agelaius_tricolor	Agelaius_tricolor	310	14542	55779	70511	137197	189	41426	56158	122844	12248	26980	93666	1628	68314	7132
Aves	Aves	Anseriformes	Anas_acuta	Anas_acuta	123	13529	49231	61255	103214	0	34810	46834	88793	9626	21650	63609	1981	43940	307
Aves	Aves	Anseriformes	Anas_platyrhynchos	Anas_platyrhynchos	140	14288	50355	62296	103932	0	35205	47146	88782	10067	22008	63644	1943	43579	294
Aves	Aves	Anseriformes	Anser_cygnoides	Anser_cygnoides	162	15930	51395	63467	114045	158	35623	47695	98273	9696	21768	72346	2374	52952	251
Aves	Aves	Passeriformes	Aphelocoma_coerulescens	Aphelocoma_coerulescens	328	15421	57974	72315	153156	238	42791	57132	137973	13193	27534	108375	1846	82687	21362
Aves	Aves	Apterygiformes	Apteryx_mantelli	Apteryx_mantelli	480	18495	70339	89729	197396	273	52117	71507	179174	20588	39978	147645	3048	110715	208
Aves	Aves	Apodiformes	Apus_apus	Apus_apus	302	17185	49435	58716	118489	257	32507	41788	101561	0	8731	68504	5482	65255	2067
Aves	Aves	Accipitriformes	Aquila_chrysaetos_chrysaetos	Aquila_chrysaetos_chrysaetos	381	16427	62942	77026	142417	147	46662	60746	126137	16254	30338	95729	1988	67379	152
Aves	Aves	Strigiformes	Athene_cunicularia	Athene_cunicularia	659	17959	54327	67081	132729	654	37022	49776	115424	7325	20079	85727	1630	67278	2748
Aves	Aves	Anseriformes	Aythya_fuligula	Aythya_fuligula	245	14658	49121	59899	106041	358	34821	45599	91741	10137	20915	67057	2213	48355	394
Aves	Aves	Columbiformes	Caloenas_nicobarica	Caloenas_nicobarica	364	16651	61750	76592	140714	269	45368	60210	124332	15129	29971	94093	1873	65995	233
