Species	EPHA5-CENPC	EPHA5-UBA6	EPHA5-YTHDC1	CENPC-UBA6	CENPC-YTHDC1	UBA6-YTHDC1	
Eleutherodactylus_coqui	950223	1130738	7920030	93126	9319168	9499683	
Elgaria_multicarinata	513991	583414	915687	10020	342293	261051	
Emys_orbicularis	760430	864117	1118308	38133	292324	212106	
Eptesicus_fuscus	1347913	1479060	2079191	61948	662079	532793	
Equus_asinus	1524944	1662216	2393302	62851	793937	651974	
Equus_caballus	1521156	1658001	2381428	60366	783793	643818	
Equus_przewalskii	1522591	1659393	2382264	60338	783209	643219	
Equus_quagga	1508508	1645543	2364053	60349	778859	639430	
Erinaceus_europaeus	1889636	15169906	14515848	13205973	12551915	623491	
Erythrolamprus_reginae	306744	415124	854521	30491	469888	319856	
Eschrichtius_robustus	1722416	1877017	2583375	65483	771841	617477	
Eubalaena_glacialis	1719465	1878447	2605748	70365	797666	639610	
Eublepharis_macularius	471486	515556	854745	9437	348626	259888	
Eulemur_rufifrons	1104948	1195958	1656480	49432	509954	401077	
Euleptes_europaea	354883	401260	709320	39752	347812	245782	
Falco_biarmicus	348742	396990	533257	15449	151716	107182	
Falco_cherrug	348684	396970	533246	15458	151734	107194	
Falco_naumanni	352654	400986	537257	18472	154743	107193	
Falco_peregrinus	349134	397381	533616	15407	151642	107149	
Falco_rusticolus	348650	396937	533182	18479	154724	107164	
Felis_catus	1730180	1872789	2599540	62110	788861	637178	
Ficedula_albicollis	373339	398752	527895	4449	133592	103966	
Gavia_stellata	370999	404511	541907	14844	152240	108442	
Geotrypetes_seraphini	1450889	1846361	16043551	176705	14373895	13883720	
Globicephala_melas	1654704	1786430	2341291	40800	595661	476851	
Gopherus_flavomarginatus	684506	803188	1044336	43549	284697	199871	
Gorilla_gorilla	1800102	1946483	2636638	73619	763774	607897	
Gracilinanus_agilis	2002180	2166696	3099607	113940	1046851	869130	
Grus_americana	359242	405254	549122	14883	158751	114009	
Gymnogyps_californianus	377719	425796	567553	15683	157440	113261	
Haemorhous_mexicanus	325972	357830	482721	4010	128901	100140	
Haliaeetus_albicilla	357122	397815	539957	17736	159878	111629	
Heliangelus_exortis	259102	279656	412287	7372	140003	109411	
Hemicordylus_capensis	654121	733315	1138851	14525	420061	275910	
Homo_sapiens	1802863	1949255	2644357	73642	768744	612980	
Ictidomys_tridecemlineatus	1528367	1639243	2344571	54850	760178	620074	
Indicator_indicator	412547	448632	588015	19982	159365	111682	
Jaculus_jaculus	1119312	1207160	1733652	40211	566703	463556	
Kogia_breviceps	1672430	1826990	2338390	63577	574977	420542	
Lagenorhynchus_albirostris	1697235	1828789	2397166	40167	608544	490551	
Lagopus_muta	367196	399855	526437	13179	139761	99245	
Lathamus_discolor	332989	367817	500415	6636	139234	106477	
Lemur_catta	1038402	1127923	1550038	44532	466647	358937	
Leopardus_geoffroyi	1731161	1876579	2597947	63719	785087	633139	
Lepus_europaeus	1717988	1843552	2586223	69483	812154	656381	
Lonchura_striata	325557	357781	483484	3389	129092	100970	
Lutra_lutra	1741657	1900701	2592611	58893	750803	609541	
Lynx_canadensis	1720778	1866580	2608166	65035	806621	654044	
Macaca_fascicularis	1864776	2011809	2686708	75054	749953	597007	
Macaca_mulatta	1845882	1991876	2648851	74951	731926	585162	
Macaca_nemestrina	1836745	1984372	2653900	75570	745098	598059	
Macaca_thibetana	1814273	1959633	2610396	74594	725357	578773	
Malaclemys_terrapin	747986	860267	1103876	44247	287856	203032	
Manis_pentadactyla	1662264	1859879	2778382	57441	975944	835655	
Marmota_flaviventris	1583344	1686252	2432912	46653	793313	670087	
Mastomys_coucha	1581887	1704868	2389688	52466	737286	617521	
Mauremys_mutica	732953	853770	1108827	47078	302135	206585	
Mauremys_reevesii	730424	849632	1100707	47985	299060	200257	
Meleagris_gallopavo	331217	375852	501938	12788	138874	98326	
Meles_meles	1772641	1931808	2621820	60432	750444	606366	
Melopsittacus_undulatus	339887	374114	504681	6206	136773	104621	
Melospiza_georgiana	340254	371706	496904	4009	129207	100109	
Melospiza_melodia	340340	372330	497632	4047	129349	100181	
Meriones_unguiculatus	1665168	1770065	2368280	50773	648988	532043	
Mesoplodon_densirostris	1773116	1923341	2539207	65885	681751	525886	
Microcaecilia_unicolor	1582652	2225235	2698429	395664	868858	265334	
Microcebus_murinus	1320538	1436842	1991987	68972	624117	489330	
Microtus_ochrogaster	1322699	1411426	1955947	48396	592917	483996	
Molothrus_aeneus	345064	376922	502141	4064	129283	100196	
Molothrus_ater	330007	361855	486966	4056	129167	100110	
Monodelphis_domestica	2176381	2342953	3314817	105715	1077579	909952	
Motacilla_alba	314959	355567	481459	4027	129919	101091	
Muntiacus_reevesi	1777540	1908896	2615952	50136	757192	627290	
Mus_caroli	1462056	1573600	2196386	55497	678283	566221	
Mus_musculus	1595752	1696145	2388059	51797	743711	631826	
Mus_pahari	1372414	1467987	2097585	52410	682008	567321	
Mustela_erminea	1700203	1858640	2512788	59335	713483	571118	
Mustela_lutreola	1743758	1907237	2573396	58893	725052	582403	
Mustela_nigripes	1716841	1882196	2543088	57553	718445	578994	
Myotis_daubentonii	1368062	1498403	2117262	65134	683993	554250	
Neofelis_nebulosa	1718739	1864117	2579573	63270	778726	631323	
Neogale_vison	1717932	1877173	2553680	62358	738865	592175	
Neomonachus_schauinslandi	1683617	1819550	2487413	58155	726018	584905	
Nomascus_leucogenys	1767847	1913230	2402224	72307	561301	407874	
Numida_meleagris	336286	371484	514603	13341	156460	114323	
Nyctibius_grandis	406193	473086	613280	36139	176333	111763	
Ochotona_princeps	1398127	1499872	2104056	43703	647887	539748	
Odocoileus_virginianus	1814182	1955668	2664742	51363	760437	620314	
Oenanthe_melanoleuca	345963	368392	493413	4014	129035	100425	
Onychomys_torridus	1502437	1602971	2216764	56325	670118	551861	
Orcinus_orca	1689461	1821507	2377925	40834	597252	478703	
Ornithorhynchus_anatinus	757592	837281	1320747	41345	524811	435881	
Oryctolagus_cuniculus	1767165	1910953	2634461	80216	803724	628590	
Ovis_aries	2043871	2193219	2970647	43145	820573	683622	
Ovis_canadensis	2010439	2158246	2932816	43154	817724	680788	
Oxyura_jamaicensis	329057	371037	509525	14457	152945	108267	
Panthera_leo	1722543	1865737	2583236	62713	780212	628716	
Panthera_onca	1661824	1801124	2470866	58686	728428	581661	
Panthera_tigris	1691417	1835051	2548180	62914	776043	625140	
Panthera_uncia	1666743	1811138	2526975	63255	779092	621026	
Pan_troglodytes	1802547	1949031	2635075	73598	759642	603604	
Papio_anubis	1807710	1958666	2602873	72912	717119	573030	
Parus_major	325491	354159	480513	3919	130273	101705	
Passer_domesticus	256453	361958	492924	4587	135553	106109	
Patagioenas_fasciata	320156	1781160	1912348	2295727	2426915	105006	
Pelobates_fuscus	1004255	1311786	2375098	243346	1306658	985838	
Perognathus_longimembris	1005166	1099851	1535145	43080	478374	385800	
Peromyscus_eremicus	1428104	1539177	2175599	57168	693590	572902	
Peromyscus_leucopus	1461792	1568461	2184922	56056	672517	558414	
Peromyscus_maniculatus	2141425	2016824	1410398	55642	618743	494142	
Phacochoerus_africanus	1670793	1813360	2512365	66554	765559	612810	
Phaenicophaeus_curvirostris	398638	432477	571631	11459	150613	111352	
Phocoena_phocoena	1679863	1819032	2361152	48245	590365	463762	
Phocoena_sinus	1694669	1832280	2410658	46435	624813	500056	
Phyllostomus_discolor	1289261	1406816	2026827	50707	670718	544763	
Piliocolobus_tephrosceles	1792011	1938889	2607494	80251	748856	596918	
Pithys_albifrons	365152	398797	530882	4432	136517	103872	
Pleurodeles_waltl	10580255	12340998	13441776	856503	1957281	525202	
Podarcis_raffonei	1601143	1637971	1889499	7105	258633	213200	
Poecile_atricapillus	327369	356104	483121	3929	130946	101917	
Pogoniulus_pusillus	392185	427202	571659	16339	160796	115857	
Pongo_abelii	1853446	1999549	37097987	73470	39306371	39452474	
Pongo_pygmaeus	1862208	2020558	28055791	73518	30267544	30425894	
Prinia_subflava	340473	373998	500222	4058	130282	101864	
Prionailurus_bengalensis	1725900	1870656	2620368	63622	813334	660393	
Prionailurus_viverrinus	1743508	1887955	2612820	63652	788517	637217	
Pseudophryne_corroboree	2154195	3391158	8529006	481669	11119698	12356661	
Pseudopipra_pipra	342989	365284	493620	3733	132069	101330	
Pseudorca_crassidens	1623066	1754757	2305446	40814	591503	472887	
Ranitomeya_imitator	2487014	3052785	18750085	202196	21949687	22515458	
Rhea_pennata	387740	438431	568429	20409	150407	98874	
Rhinatrema_bivittatum	3394614	3843087	4534660	225841	917414	328809	
Rhineura_floridana	636676	693897	1083594	8279	397976	310172	
Rhinolophus_ferrumequinum	1393519	1502347	2158690	52581	708924	586136	
Rhinopithecus_roxellana	1656653	1803214	138847730	75328	140848905	140995466	
Rissa_tridactyla	373751	408149	548019	7850	147720	110389	
Saccopteryx_bilineata	1864225	2014902	2791042	79295	855435	672170	
Saccopteryx_leptura	1741824	1880785	2633793	71705	824713	648545	
Sarcophilus_harrisii	1820167	1952801	2724274	81186	852659	706720	
Sceloporus_undulatus	480155	512887	903573	7627	398313	356137	
Sciurus_carolinensis	1631677	1772287	2549732	61443	838888	695672	
Serinus_canaria	339268	371239	496272	4053	129086	100261	
Sorex_araneus	1493642	1599518	2237574	57336	695392	563904	
Spea_bombifrons	266344	341551	479445	61884	199778	111047	
Sphaerodactylus_townsendi	762261	804728	1339826	7308	542406	416616	
Strigops_habroptila	333804	368613	500594	7762	139743	106149	
Struthio_camelus	419064	471369	619442	19318	167391	111004	
Suncus_etruscus	1765083	1869646	2520281	52765	703400	582709	
Suricata_suricatta	1643105	1785866	2442534	58750	715418	584379	
Sus_scrofa	1634490	1779375	2482953	67855	771433	617460	
Sylvia_atricapilla	325169	357358	483297	4099	130038	101671	
