Order	Species_name	Num_Gaps	EPHA5_CENPC	EPHA5_UBA6	EPHA5_YTHDC1	CENPC_UBA6	CENPC_YTHDC1	UBA6_YTHDC1
Falconiformes	Falco_cherrug	0	348684	396970	533246	15458	151734	107194
Falconiformes	Falco_naumanni	0	352654	400986	537257	18472	154743	107193
Falconiformes	Falco_peregrinus	0	349134	397381	533616	15407	151642	107149
Falconiformes	Falco_rusticolus	0	348650	396937	533182	18479	154724	107164
Carnivora	Felis_catus	0	1730180	1872789	2599540	62110	788861	637178
Passeriformes	Ficedula_albicollis	2	373339	398752	527895	4449	133592	103966
Gaviiformes	Gavia_stellata	0	370999	404511	541907	14844	152240	108442
Gymnophiona	Geotrypetes_seraphini	0	1450889	1846361	16043551	176705	14373895	13883720
Artiodactyla	Globicephala_melas	1	1654704	1786430	2341291	40800	595661	476851
Primates	Gorilla_gorilla	0	1800102	1946483	2636638	73619	763774	607897
Didelphimorphia	Gracilinanus_agilis	66	2002180	2166696	3099607	113940	1046851	869130
Gruiformes	Grus_americana	0	359242	405254	549122	14883	158751	114009
Accipitriformes	Gymnogyps_californianus	0	377719	425796	567553	15683	157440	113261
Passeriformes	Haemorhous_mexicanus	0	325972	357830	482721	4010	128901	100140
Accipitriformes	Haliaeetus_albicilla	1	357122	397815	539957	17736	159878	111629
Apodiformes	Heliangelus_exortis	0	259102	279656	412287	7372	140003	109411
Squamata	Hemicordylus_capensis	0	654121	733315	1138851	14525	420061	275910
Primates	Homo_sapiens	0	1802863	1949255	2644357	73642	768744	612980
Rodentia	Ictidomys_tridecemlineatus	65	1528367	1639243	2344571	54850	760178	620074
Piciformes	Indicator_indicator	0	412547	448632	588015	19982	159365	111682
Rodentia	Jaculus_jaculus	1	1119312	1207160	1733652	40211	566703	463556
Artiodactyla	Kogia_breviceps	0	1672430	1826990	2338390	63577	574977	420542
Artiodactyla	Lagenorhynchus_albirostris	1	1697235	1828789	2397166	40167	608544	490551
Galliformes	Lagopus_muta	0	367196	399855	526437	13179	139761	99245
Psittaciformes	Lathamus_discolor	0	332989	367817	500415	6636	139234	106477
Primates	Lemur_catta	0	1038402	1127923	1550038	44532	466647	358937
Carnivora	Leopardus_geoffroyi	0	1731161	1876579	2597947	63719	785087	633139
Lagomorpha	Lepus_europaeus	0	1717988	1843552	2586223	69483	812154	656381
Passeriformes	Lonchura_striata	15	325557	357781	483484	3389	129092	100970
Carnivora	Lutra_lutra	0	1741657	1900701	2592611	58893	750803	609541
Carnivora	Lynx_canadensis	0	1720778	1866580	2608166	65035	806621	654044
Primates	Macaca_fascicularis	0	1864776	2011809	2686708	75054	749953	597007
Primates	Macaca_mulatta	0	1845882	1991876	2648851	74951	731926	585162
Primates	Macaca_nemestrina	0	1836745	1984372	2653900	75570	745098	598059
Primates	Macaca_thibetana	0	1814273	1959633	2610396	74594	725357	578773
Pholidota	Manis_pentadactyla	0	1662264	1859879	2778382	57441	975944	835655
Rodentia	Marmota_flaviventris	0	1583344	1686252	2432912	46653	793313	670087
Rodentia	Mastomys_coucha	163	1581887	1704868	2389688	52466	737286	617521
Galliformes	Meleagris_gallopavo	30	331217	375852	501938	12788	138874	98326
Carnivora	Meles_meles	0	1772641	1931808	2621820	60432	750444	606366
Psittaciformes	Melopsittacus_undulatus	0	339887	374114	504681	6206	136773	104621
Passeriformes	Melospiza_georgiana	0	340254	371706	496904	4009	129207	100109
Passeriformes	Melospiza_melodia	0	340340	372330	497632	4047	129349	100181
Rodentia	Meriones_unguiculatus	0	1665168	1770065	2368280	50773	648988	532043
Artiodactyla	Mesoplodon_densirostris	0	1773116	1923341	2539207	65885	681751	525886
Gymnophiona	Microcaecilia_unicolor	3	1582652	2225235	2698429	395664	868858	265334
Primates	Microcebus_murinus	41	1320538	1436842	1991987	68972	624117	489330
Rodentia	Microtus_ochrogaster	182	1322699	1411426	1955947	48396	592917	483996
Passeriformes	Molothrus_aeneus	0	345064	376922	502141	4064	129283	100196
Passeriformes	Molothrus_ater	0	330007	361855	486966	4056	129167	100110
Didelphimorphia	Monodelphis_domestica	0	2176381	2342953	3314817	105715	1077579	909952
Passeriformes	Motacilla_alba	0	314959	355567	481459	4027	129919	101091
Artiodactyla	Muntiacus_reevesi	2	1777540	1908896	2615952	50136	757192	627290
Rodentia	Mus_caroli	292	1462056	1573600	2196386	55497	678283	566221
Rodentia	Mus_musculus	0	1595752	1696145	2388059	51797	743711	631826
Rodentia	Mus_pahari	545	1372414	1467987	2097585	52410	682008	567321
Carnivora	Mustela_erminea	0	1700203	1858640	2512788	59335	713483	571118
Carnivora	Mustela_lutreola	0	1743758	1907237	2573396	58893	725052	582403
Carnivora	Mustela_nigripes	26	1716841	1882196	2543088	57553	718445	578994
Chiroptera	Myotis_daubentonii	1	1368062	1498403	2117262	65134	683993	554250
Carnivora	Neofelis_nebulosa	0	1718739	1864117	2579573	63270	778726	631323
Carnivora	Neogale_vison	0	1717932	1877173	2553680	62358	738865	592175
Carnivora	Neomonachus_schauinslandi	19	1683617	1819550	2487413	58155	726018	584905
Primates	Nomascus_leucogenys	1	1767847	1913230	2402224	72307	561301	407874
Galliformes	Numida_meleagris	3	336286	371484	514603	13341	156460	114323
Caprimulgiformes	Nyctibius_grandis	0	406193	473086	613280	36139	176333	111763
Lagomorpha	Ochotona_princeps	0	1398127	1499872	2104056	43703	647887	539748
Artiodactyla	Odocoileus_virginianus	0	1814182	1955668	2664742	51363	760437	620314
Passeriformes	Oenanthe_melanoleuca	0	345963	368392	493413	4014	129035	100425
Rodentia	Onychomys_torridus	1	1502437	1602971	2216764	56325	670118	551861
Artiodactyla	Orcinus_orca	0	1689461	1821507	2377925	40834	597252	478703
Monotremata	Ornithorhynchus_anatinus	0	757592	837281	1320747	41345	524811	435881
Lagomorpha	Oryctolagus_cuniculus	3	1767165	1910953	2634461	80216	803724	628590
