Group	IL34_status	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Aves	1	Passeriformes	Prinia_subflava	Prinia_subflava	264	15492	57261	71758	8339944	140	41909	56406	8347994	12481	26978	8363222	1802	8404991	8419488
Aves	1	Passeriformes	Pseudopipra_pipra	Pseudopipra_pipra	1063	16623	65098	79850	137390	264	48739	63491	121031	19273	34025	91565	1899	59439	1696
Aves	1	Rheiformes	Rhea_pennata	Rhea_pennata	388	17453	59118	76383	177978	248	41913	59178	160773	10765	28030	129625	2058	103653	173
Aves	1	Charadriiformes	Rissa_tridactyla	Rissa_tridactyla	368	17023	64523	79358	149783	233	47733	62568	132993	17032	31867	102292	2376	72801	167
Aves	1	Psittaciformes	Strigops_habroptila	Strigops_habroptila	352	18603	69587	78966	143596	26	51010	60389	125019	22844	32223	96853	1531	66161	392
Aves	1	Struthioniformes	Struthio_camelus	Struthio_camelus	407	18288	70068	96238	206840	0	51664	77834	188436	19052	45222	155824	3510	114112	189
Aves	1	Galliformes	Tympanuchus_pallidicinctus	Tympanuchus_pallidicinctus	287	15215	54580	66269	118791	262	39627	51316	103838	11117	22806	75328	1543	54065	53
Aves	1	Strigiformes	Tyto_alba	Tyto_alba	308	17582	63350	78635	143557	265	46033	61318	126240	16582	31867	96789	2313	67235	731
Chondrichthyes	1	Rajiformes	Amblyraja_radiata	Amblyraja_radiata	1608	49106	230227	398575	706394	9664	190785	359133	855644	139515	307863	903142	30707	1084263	1252611
Chondrichthyes	1	Orectolobiformes	Hemiscyllium_ocellatum	Hemiscyllium_ocellatum	1238	65999	381888	587075	1516258	7199	323088	528275	1881030	260506	465693	1945791	67607	2261680	2466867
Chondrichthyes	1	Myliobatiformes	Hypanus_sabinus	Hypanus_sabinus	1372	130880	588556	902960	1855072	25322	482998	797402	2215565	404109	718513	2345073	114556	2802749	3117153
