Group	Species_name	IL34_status	COG4-SF3B3	SF3B3-MTSS2	MTSS2-VAC14
Aves	Phalacrocorax_carbo	Intact	233	13080	1975
Aves	Pipra_filicauda	Intact	341	19455	1962
Aves	Pithys_albifrons_albifrons	Intact	269	12221	1711
Aves	Prinia_subflava	Intact	140	12481	1802
Aves	Pseudopipra_pipra	Intact	264	19273	1899
Aves	Rhea_pennata	Intact	248	10765	2058
Aves	Rissa_tridactyla	Intact	233	17032	2376
Aves	Struthio_camelus	Intact	0	19052	3510
Aves	Tympanuchus_pallidicinctus	Intact	262	11117	1543
Aves	Tyto_alba	Intact	265	16582	2313
Chondrichthyes	Amblyraja_radiata	Intact	9664	139515	30707
Chondrichthyes	Hemiscyllium_ocellatum	Intact	7199	260506	67607
Chondrichthyes	Hypanus_sabinus	Intact	25322	404109	114556
Chondrichthyes	Leucoraja_erinaceus	Intact	5778	131117	27945
Chondrichthyes	Mobula_hypostoma	Intact	20418	331124	65716
Chondrichthyes	Narcine_bancroftii	Intact	71156	286965	55163
Chondrichthyes	Pristis_pectinata	Intact	11530	209771	46656
Chondrichthyes	Scyliorhinus_canicula	Intact	41948	486299	122006
Chondrichthyes	Stegostoma_tigrinum	Intact	11048	292651	50403
Crocodylia	Alligator_mississippiensis	Intact	3192	3985682	14097
Mammalia	Acinonyx_jubatus	Intact	219	75986	1541
Mammalia	Acomys_russatus	Intact	214	63468	1457
Mammalia	Aotus_nancymaae	Intact	266	78824	1576
Mammalia	Apodemus_sylvaticus	Intact	215	71967	897
Mammalia	Artibeus_jamaicensis	Intact	262	71198	1221
Mammalia	Arvicanthis_niloticus	Intact	230	69594	1096
Mammalia	Arvicola_amphibius	Intact	0	62594	1507
Mammalia	Balaenoptera_acutorostrata	Intact	253	71421	1423
Mammalia	Balaenoptera_musculus	Intact	266	69739	2059
Mammalia	Balaenoptera_ricei	Intact	268	71693	1635
Mammalia	Bos_javanicus	Intact	238	68252	1089
Mammalia	Bos_mutus	Intact	220	69320	815
Mammalia	Bubalus_bubalis	Intact	205	68485	1524
Mammalia	Bubalus_kerabau	Intact	208	70576	4646
Mammalia	Budorcas_taxicolor	Intact	274	68688	1080
Mammalia	Callithrix_jacchus	Intact	0	82758	5628
Mammalia	Camelus_ferus	Intact	254	54306	6682
Mammalia	Canis_lupus_dingo	Intact	219	69212	1411
Mammalia	Capra_hircus	Intact	267	69055	1066
Mammalia	Cavia_porcellus	Intact	2455	65668	2050
Mammalia	Cervus_elaphus	Intact	215	77952	942
Mammalia	Chionomys_nivalis	Intact	2640	59460	928
Mammalia	Chlorocebus_sabaeus	Intact	237	92349	1394
Mammalia	Choloepus_didactylus	Intact	235	73871	1236
Mammalia	Cynocephalus_volans	Intact	355	68739	5500
Mammalia	Dama_dama	Intact	258	76856	1133
Mammalia	Delphinapterus_leucas	Intact	259	66911	1286
Mammalia	Desmodus_rotundus	Intact	255	67314	1268
Mammalia	Diceros_bicornis_minor	Intact	289	70607	1777
Mammalia	Dipodomys_merriami	Intact	0	55084	5297
Mammalia	Dipodomys_spectabilis	Intact	220	53363	4749
Mammalia	Dromiciops_gliroides	Intact	500	127845	2622
Mammalia	Elephas_maximus_indicus	Intact	255	82122	1421
Mammalia	Eptesicus_fuscus	Intact	470	75223	1765
Mammalia	Equus_asinus	Intact	210	67633	1446
Mammalia	Equus_caballus	Intact	0	67407	1452
Mammalia	Equus_przewalskii	Intact	0	67432	1451
Mammalia	Erinaceus_europaeus	Intact	204	100192	1018
Mammalia	Eschrichtius_robustus	Intact	279	72138	1621
Mammalia	Eubalaena_glacialis	Intact	293	73851	1694
Mammalia	Eulemur_rufifrons	Intact	2896	58779	6380
Mammalia	Felis_catus	Intact	204	67932	1570
Mammalia	Globicephala_melas	Intact	269	65010	520
Mammalia	Gorilla_gorilla_gorilla	Intact	0	93754	1609
Mammalia	Halichoerus_grypus	Intact	198	68364	1562
Mammalia	Hippopotamus_amphibius_kiboko	Intact	261	64579	1575
Mammalia	Hylobates_moloch	Intact	353	83870	3393
Mammalia	Jaculus_jaculus	Intact	252	126919	1311
Mammalia	Lagenorhynchus_albirostris	Intact	2818	58481	8506
