Group	IL34_status	Order	Species_name	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Aves	Intact	Passeriformes	Molothrus_aeneus	324	14600	55986	70747	140359	259	41645	56406	126018	12292	27053	96665	1874	71486	10119
Aves	Intact	Passeriformes	Molothrus_ater	326	14625	55934	70702	10118367	285	41594	56362	10126355	12273	27041	10140654	1865	10181963	10196731
Aves	Intact	Passeriformes	Oenanthe_melanoleuca	300	15529	56784	71153	931218	60	41315	55684	915749	12155	26524	886589	1761	861826	801598
Aves	Intact	Columbiformes	Patagioenas_fasciata	808	16159	59943	75698	137278	0	43583	59338	120918	13526	29281	90861	1922	63502	127
Aves	Intact	Cuculiformes	Phaenicophaeus_curvirostris	228	16636	65764	81583	7020209	309	49437	65256	7027330	19432	35251	7043738	3301	7092866	7108685
Aves	Intact	Suliformes	Phalacrocorax_carbo	346	16360	62707	77911	143879	233	46580	61784	127752	13080	28284	94252	1975	67943	83
Aves	Intact	Passeriformes	Pipra_filicauda	252	15914	64553	78002	137353	341	48980	62429	121780	19455	32904	92255	1962	61313	1616
Aves	Intact	Passeriformes	Pithys_albifrons_albifrons	312	15796	57647	72501	160693	269	42120	56974	145166	12221	27075	115267	1711	89903	29679
Aves	Intact	Passeriformes	Prinia_subflava	264	15492	57261	71758	8339944	140	41909	56406	8347994	12481	26978	8363222	1802	8404991	8419488
Aves	Intact	Passeriformes	Pseudopipra_pipra	1063	16623	65098	79850	137390	264	48739	63491	121031	19273	34025	91565	1899	59439	1696
Aves	Intact	Rheiformes	Rhea_pennata	388	17453	59118	76383	177978	248	41913	59178	160773	10765	28030	129625	2058	103653	173
Aves	Intact	Charadriiformes	Rissa_tridactyla	368	17023	64523	79358	149783	233	47733	62568	132993	17032	31867	102292	2376	72801	167
Aves	Intact	Struthioniformes	Struthio_camelus	407	18288	70068	96238	206840	0	51664	77834	188436	19052	45222	155824	3510	114112	189
Aves	Intact	Galliformes	Tympanuchus_pallidicinctus	287	15215	54580	66269	118791	262	39627	51316	103838	11117	22806	75328	1543	54065	53
Aves	Intact	Strigiformes	Tyto_alba	308	17582	63350	78635	143557	265	46033	61318	126240	16582	31867	96789	2313	67235	731
Chondrichthyes	Intact	Rajiformes	Amblyraja_radiata	1608	49106	230227	398575	706394	9664	190785	359133	855644	139515	307863	903142	30707	1084263	1252611
Chondrichthyes	Intact	Orectolobiformes	Hemiscyllium_ocellatum	1238	65999	381888	587075	1516258	7199	323088	528275	1881030	260506	465693	1945791	67607	2261680	2466867
Chondrichthyes	Intact	Myliobatiformes	Hypanus_sabinus	1372	130880	588556	902960	1855072	25322	482998	797402	2215565	404109	718513	2345073	114556	2802749	3117153
Chondrichthyes	Intact	Rajiformes	Leucoraja_erinaceus	2799	51929	224978	389544	672704	5778	178827	343393	814749	131117	295683	863879	27945	1036928	1201494
Chondrichthyes	Intact	Myliobatiformes	Mobula_hypostoma	22517	118280	509445	765867	1641622	20418	411583	668005	2034758	331124	587546	2130521	65716	2521686	2778108
Chondrichthyes	Intact	Torpediniformes	Narcine_bancroftii	25245	168846	507530	787609	2300989	71156	409840	689919	2769352	286965	567044	2912953	55163	3251637	3531716
