Group	IL34_status	Order	Species_name	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Mammalia	Intact	Carnivora	Prionailurus_viverrinus	299	28404	163418	188714	297010	287	135301	160597	268893	86366	111662	219958	1546	109842	5917
Mammalia	Intact	Artiodactyla	Pseudorca_crassidens	300	28011	140846	163607	375947	255	113090	135851	348191	64592	87353	299693	1489	213829	4928
Mammalia	Intact	Chiroptera	Pteronotus_mesoamericanus	0	26524	137424	155965	255576	266	111166	129707	229318	66791	85332	184943	1347	100958	4632
Mammalia	Intact	Rodentia	Rattus_norvegicus	232	34494	140179	162844	271474	239	105924	128589	237219	68447	91112	199742	891	109521	7303
Mammalia	Intact	Rodentia	Rattus_rattus	0	33910	137836	159499	268939	219	104145	125808	235248	66971	88634	198074	1178	110618	7504
Mammalia	Intact		Rhinolophus_ferrumequinum	147	25192	128887	151672	251441	223	103918	126703	226472	64508	87293	187062	5809	105578	5864
Mammalia	Intact	Primates	Rhinopithecus_roxellana	297	41135	178132	204179	327505	232	137229	163276	286602	83907	109954	233280	1375	124701	6759
Mammalia	Intact	Chiroptera	Rousettus_aegyptiacus	293	21876	126012	147406	246071	240	104376	125770	224435	62378	83772	182437	1304	99969	4809
Mammalia	Intact	Chiroptera	Saccopteryx_bilineata	1739	36935	170947	188808	295141	275	134287	152148	258481	89427	107288	213621	1245	107578	6828
Mammalia	Intact	Chiroptera	Saccopteryx_leptura	1486	34629	171823	189894	298933	275	137469	155540	264579	88527	106598	215637	1253	110292	6018
Mammalia	Intact	Artiodactyla	Sagmatias_obliquidens	299	26750	139582	162335	377373	267	113099	135852	350890	64717	87470	302508	104	215142	117250
Mammalia	Intact	Primates	Saimiri_boliviensis	296	36270	179687	205112	335651	228	143645	169070	299609	89622	115047	245586	1362	131901	4699
Mammalia	Intact	Dasyuromorphia	Sarcophilus_harrisii	186	32194	183326	220820	339992	436	151568	189062	308234	119744	157238	276410	1858	121030	10754
Mammalia	Intact	Rodentia	Sciurus_carolinensis	0	8404	133586	155209	263935	247	125429	147052	255778	77525	99148	207874	1317	110043	5703
Mammalia	Intact	Eulipotyphla	Sorex_araneus	120	21308	120843	139343	204712	284	99819	118319	183688	58721	77221	142590	1226	66595	15173
Mammalia	Intact	Eulipotyphla	Sorex_fumeus	0	21868	119692	137608	192771	281	98105	116021	171184	58597	76513	131676	1299	56462	4858
Mammalia	Intact	Eulipotyphla	Suncus_etruscus	0	34030	153844	173658	239964	4016	123830	143644	209950	66954	86768	153074	1207	67513	6121
Mammalia	Intact	Artiodactyla	Sus_scrofa	296	32129	167808	191220	402696	268	135947	159359	370835	81708	105120	316596	1490	212966	104031
Mammalia	Intact	Primates	Symphalangus_syndactylus	1834	40202	176884	200750	484811	0	136608	160474	444535	86451	110317	394378	1645	285706	170426
Mammalia	Intact	Monotremata	Tachyglossus_aculeatus	1356	33514	144442	196651	382701	114	111042	163251	349301	70672	122881	308931	11012	197062	8606
Mammalia	Intact	Eulipotyphla	Talpa_occidentalis	0	25208	136508	276385	328985	238	111538	251415	304015	66649	206526	259126	119065	171665	3184
Mammalia	Intact	Primates	Trachypithecus_francoisi	300	42647	177303	202962	325444	223	134879	160538	283020	79401	105060	227542	2030	124512	6910
Mammalia	Intact	Diprotodontia	Trichosurus_vulpecula	268	31885	186926	226612	379239	465	155506	195192	347819	121507	161193	313820	2647	155274	14758
Mammalia	Intact	Artiodactyla	Tursiops_truncatus	299	28007	140778	162014	377145	257	113028	134264	349395	64521	85757	300888	108	215239	117227
Mammalia	Intact	Carnivora	Ursus_americanus	304	26635	129822	151453	257468	224	103411	125042	231057	61891	83522	189537	1574	107589	5166
Mammalia	Intact	Carnivora	Ursus_arctos	306	26155	130028	150621	256270	0	103836	124429	230078	62458	83051	188700	1565	107214	5004
Mammalia	Intact	Carnivora	Vulpes_lagopus	302	24246	155119	177509	284822	253	131126	153516	260829	78187	100577	207890	1208	108521	6225
Mammalia	Intact	Carnivora	Zalophus_californianus	285	27523	139069	161549	267656	181	111727	134207	240314	68872	91352	197459	5745	111852	4075
Squamata	Loss	Squamata	Anolis_carolinensis	0	14667	44074	91828	173384	51	29458	77212	158768	987	48741	130297	3756	85312	9158
Squamata	Loss	Squamata	Anolis_sagrei	88	27994	82626	156434	262173	139	54771	128579	234318	5454	79262	185001	4788	110527	8024
Squamata	Loss	Squamata	Candoia_aspera	14013	34293	88078	155030	213406	0	53403	120355	178731	4961	71913	130289	995	59371	355
Squamata	Loss	Squamata	Crotalus_tigris	1793	13440	294742	267417	155633	0	281170	253845	142061	249169	221844	110060	135	32729	5404
Squamata	Loss	Squamata	Elgaria_multicarinata_webbii	1926	37206	96390	200393	311569	1052	60236	164239	275415	2912	106915	218091	2209	113385	5107
Squamata	Loss	Squamata	Erythrolamprus_reginae	2410	20790	67985	114428	226592	0	47157	93600	205764	1327	47770	159934	387	112551	78398
Squamata	Loss	Squamata	Eublepharis_macularius	3549206	3576971	3618432	3710243	3837044	129	41590	133401	260202	6211	98022	224823	4028	130829	3171
Squamata	Loss	Squamata	Euleptes_europaea	9803	32168	77311	163257	311869	2182	47325	133271	281883	7227	93173	241785	5999	154611	4308
Squamata	Loss	Squamata	Hemicordylus_capensis	2155	20304	57738	115179	212507	88	37522	94963	192291	664	58105	155433	2565	99893	34181
Squamata	Loss	Squamata	Heteronotia_binoei	9529	31346	91888	180704	353612	96	60638	149454	322362	5208	94024	266932	4620	177528	4978
Squamata	Loss	Squamata	Lacerta_agilis	7	18012	56250	116532	192629	1113	39351	99633	175730	5563	65845	141942	1789	77886	1785
Squamata	Loss	Squamata	Pantherophis_guttatus	2597	23010	75225	130599	196193	65	52280	107654	173248	4633	60007	125601	624	66218	164
Squamata	Loss	Squamata	Pituophis_catenifer_annectens	2409	22705	97113	148025	209453	89	74497	125409	186837	23363	74275	135703	554	61982	192
Squamata	Loss	Squamata	Podarcis_raffonei	1999	19092	55787	112319	184052	1158	37853	94385	166118	3314	59846	131579	1704	73437	1291
Squamata	Loss	Squamata	Rhineura_floridana	75	41291	112043	195231	609232	0	70668	153856	567857	5356	88544	502545	3600	417601	253477
Squamata	Loss	Squamata	Sphaerodactylus_townsendi	4794	20936	57038	138641	246086	0	35963	117566	225011	622	82225	189670	3936	111381	2442
Squamata	Loss	Squamata	Thamnophis_elegans	1279	17446	57837	121066	164590	13	40404	103633	147157	0	63138	106662	712	44236	86
Squamata	Loss	Squamata	Zootoca_vivipara	0	16744	55017	117670	199286	375	38648	101301	182917	2986	65639	147255	376	81992	82
Testudines	Intact	Testudines	Caretta_caretta	1861	34407	352107	473273	698383	537	394965	516131	741241	427511	548677	773787	34818	259928	33499
Testudines	Intact	Testudines	Chelonia_mydas	1864	34107	383439	487629	711944	45	425985	530175	754490	458228	562418	786733	23974	248289	23901
Testudines	Intact	Testudines	Chrysemys_picta_bellii	0	29160	552145	665692	870212	191	597057	710604	915124	626723	740270	944790	19356	223876	11673
Testudines	Intact	Testudines	Dermochelys_coriacea	1858	31280	405144	514698	3433155	752	444904	554458	3402627	474326	583880	3347530	16311	3876201	3985755
Testudines	Intact	Testudines	Emys_orbicularis	1910	32501	1077184	1182648	1402143	2607	1107389	1212853	1432348	1137980	1243444	1462939	20685	240180	15425
Testudines	Intact	Testudines	Gopherus_evgoodei	2049	29919	409485	514762	732214	248	449883	555160	772612	477753	583030	800482	19313	236765	15549
Testudines	Intact	Testudines	Gopherus_flavomarginatus	2085	32438	471770	572625	866057	286	515208	616063	909495	545561	646416	939848	17518	310950	87281
Testudines	Intact	Testudines	Malaclemys_terrapin_pileata	1688	32064	435277	550070	755151	286	473603	588396	793477	503979	618772	823853	20371	225452	10504
Testudines	Intact	Testudines	Mauremys_reevesii	1727	31071	347289	467137	681628	0	386626	506474	720965	415970	535818	750309	23364	237855	8948
