Group	Species_name	IL34_status	FCSK-SF3B3	SF3B3-MTSS2	MTSS2-HYDIN
Mammalia	Molossus_molossus	Intact	31575	81442	117796
Mammalia	Monodon_monoceros	Intact	28195	66378	211740
Mammalia	Moschus_berezovskii	Intact	25539	71637	38774634
Mammalia	Mus_musculus	Intact	35511	69092	111224
Mammalia	Mustela_erminea	Intact	27756	66222	105760
Mammalia	Mustela_lutreola	Intact	27583	66704	104150
Mammalia	Mustela_putorius_furo	Intact	27176	66424	103731
Mammalia	Myotis_myotis	Intact	28562	76409	103125
Mammalia	Myotis_yumanensis	Intact	28797	77747	100836
Mammalia	Neofelis_nebulosa	Intact	28235	87605	110633
Mammalia	Neogale_vison	Intact	26421	65612	105060
Mammalia	Nyctereutes_procyonoides	Intact	28077	69395	108246
Mammalia	Nycticebus_coucang	Intact	37806	85548	107583
Mammalia	Ochotona_curzoniae	Intact	30261	58407	88953
Mammalia	Ochotona_princeps	Intact	30062	63097	230617
Mammalia	Orcinus_orca	Intact	27990	38971	219168
Mammalia	Ornithorhynchus_anatinus	Intact	32756	55089	205326
Mammalia	Oryctolagus_cuniculus	Intact	36353	66673	107299
Mammalia	Ovis_aries	Intact	25801	68577	38328796
Mammalia	Ovis_canadensis	Intact	25947	70885	38275800
Mammalia	Pan_paniscus	Intact	43120	85932	122882
Mammalia	Panthera_leo	Intact	27800	85341	184002
Mammalia	Panthera_pardus	Intact	28008	86289	109405
Mammalia	Panthera_tigris	Intact	28012	85603	184523
Mammalia	Pan_troglodytes	Intact	43148	86566	333651
Mammalia	Perognathus_longimembris_pacificus	Intact	21299	40186	93104
Mammalia	Peromyscus_californicus_insignis	Intact	41208	63505	121784
Mammalia	Peromyscus_leucopus	Intact	40402	62849	126603
Mammalia	Phacochoerus_africanus	Intact	30899	80651	208710
Mammalia	Phascolarctos_cinereus	Intact	32452	111319	151854
Mammalia	Phocoena_phocoena	Intact	28800	66623	399314
Mammalia	Phocoena_sinus	Intact	28061	64352	219417
Mammalia	Phodopus_roborovskii	Intact	34396	60810	120877
Mammalia	Phyllostomus_discolor	Intact	26116	68553	169976
Mammalia	Phyllostomus_hastatus	Intact	25658	66275	99928
Mammalia	Pipistrellus_kuhlii	Intact	25851	89800	95671
Mammalia	Pongo_abelii	Intact	43591	84256	119323
Mammalia	Pongo_pygmaeus	Intact	43352	84263	120745
Mammalia	Prionailurus_bengalensis	Intact	27873	86675	108875
Mammalia	Prionailurus_viverrinus	Intact	28404	86366	109842
Mammalia	Pseudorca_crassidens	Intact	28011	64592	213829
Mammalia	Pteronotus_mesoamericanus	Intact	26524	66791	100958
Mammalia	Rattus_norvegicus	Intact	34494	68447	109521
Mammalia	Rattus_rattus	Intact	33910	66971	110618
Mammalia	Rhinolophus_ferrumequinum	Intact	25192	64508	105578
Mammalia	Rhinopithecus_roxellana	Intact	41135	83907	124701
Mammalia	Rousettus_aegyptiacus	Intact	21876	62378	99969
Mammalia	Saccopteryx_bilineata	Intact	36935	89427	107578
Mammalia	Saccopteryx_leptura	Intact	34629	88527	110292
Mammalia	Sagmatias_obliquidens	Intact	26750	64717	215142
Mammalia	Saimiri_boliviensis	Intact	36270	89622	131901
Mammalia	Sarcophilus_harrisii	Intact	32194	119744	121030
Mammalia	Sciurus_carolinensis	Intact	8404	77525	110043
Mammalia	Sorex_araneus	Intact	21308	58721	66595
Mammalia	Sorex_fumeus	Intact	21868	58597	56462
Mammalia	Suncus_etruscus	Intact	34030	66954	67513
Mammalia	Sus_scrofa	Intact	32129	81708	212966
Mammalia	Symphalangus_syndactylus	Intact	40202	86451	285706
Mammalia	Tachyglossus_aculeatus	Intact	33514	70672	197062
Mammalia	Talpa_occidentalis	Intact	25208	66649	171665
Mammalia	Trachypithecus_francoisi	Intact	42647	79401	124512
Mammalia	Trichosurus_vulpecula	Intact	31885	121507	155274
Mammalia	Tursiops_truncatus	Intact	28007	64521	215239
Mammalia	Ursus_americanus	Intact	26635	61891	107589
Mammalia	Ursus_arctos	Intact	26155	62458	107214
Mammalia	Vulpes_lagopus	Intact	24246	78187	108521
Mammalia	Zalophus_californianus	Intact	27523	68872	111852
Squamata	Anolis_carolinensis	Loss	14667	987	85312
Squamata	Anolis_sagrei	Loss	27994	5454	110527
Squamata	Candoia_aspera	Loss	34293	4961	59371
Squamata	Crotalus_tigris	Loss	13440	249169	32729
Squamata	Elgaria_multicarinata_webbii	Loss	37206	2912	113385
Squamata	Erythrolamprus_reginae	Loss	20790	1327	112551
Squamata	Eublepharis_macularius	Loss	3576971	6211	130829
Squamata	Euleptes_europaea	Loss	32168	7227	154611
Squamata	Hemicordylus_capensis	Loss	20304	664	99893
Squamata	Heteronotia_binoei	Loss	31346	5208	177528
Squamata	Lacerta_agilis	Loss	18012	5563	77886
Squamata	Pantherophis_guttatus	Loss	23010	4633	66218
Squamata	Pituophis_catenifer_annectens	Loss	22705	23363	61982
Squamata	Podarcis_raffonei	Loss	19092	3314	73437
Squamata	Rhineura_floridana	Loss	41291	5356	417601
Squamata	Sphaerodactylus_townsendi	Loss	20936	622	111381
Squamata	Thamnophis_elegans	Loss	17446	0	44236
Squamata	Zootoca_vivipara	Loss	16744	2986	81992
Testudines	Caretta_caretta	Intact	34407	427511	259928
Testudines	Chelonia_mydas	Intact	34107	458228	248289
Testudines	Chrysemys_picta_bellii	Intact	29160	626723	223876
Testudines	Dermochelys_coriacea	Intact	31280	474326	3876201
Testudines	Emys_orbicularis	Intact	32501	1137980	240180
Testudines	Gopherus_evgoodei	Intact	29919	477753	236765
Testudines	Gopherus_flavomarginatus	Intact	32438	545561	310950
Testudines	Malaclemys_terrapin_pileata	Intact	32064	503979	225452
Testudines	Mauremys_reevesii	Intact	31071	415970	237855
