species	gene_status	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Colius_striatus	1	228	16433	60538	75113	1019141	278	44383	58958	1002986	12468	27043	971071	2246	946274	879479
Columba_livia	1	347	16530	60101	75783	137590	43	43614	59296	121103	13647	29329	91136	1707	63514	104
Corvus_cornix	1	312	15338	58265	72119	137277	272	43199	57053	122211	13612	27466	92624	1864	67022	0
Corvus_hawaiiensis	1	315	15389	58436	72258	152667	251	43298	57120	137529	13690	27512	107921	1857	82266	552
Corvus_moneduloides	1	312	15348	57102	72270	152636	269	42023	57191	137557	12377	27545	107911	1862	82228	14697
Coturnix_japonica	1	286	14705	51748	63576	113578	59	37102	48930	98932	9454	21282	71284	1436	51438	288
Cricetulus_griseus	1	261	36569	144140	165216	282191	211	107782	128858	245833	69967	91043	208018	1059	118034	9318
Cygnus_atratus	1	159	15878	51793	62694	114507	194	36109	47010	98823	10238	21139	72952	2457	54270	311
Cygnus_olor	1	0	14816	51155	61513	112119	183	36522	46880	97486	10620	20978	71584	2344	52950	139
Cynocephalus_volans	1	267	25957	135422	158264	273163	281	109746	132588	247487	68739	91581	206480	1430	116329	5412
Dama_dama	1	158	25046	140606	160945	36609203	258	115818	136157	36625580	76856	97195	36650468	1133	36766028	36786367
Dasypus_novemcinctus	1	0	27004	164132	189107	309970	0	136945	161920	282783	78581	103556	224419	1197	122060	6321
Dendropsophus_ebraccatus	1	0	19132	106915	144180	180576	0	87438	124703	161099	74009	111274	147670	8269	44665	9158
Dermochelys_coriacea	1	1858	31280	402053	511607	3344545	71	444904	554458	3313336	474326	583880	3258920	16293	3787591	3897145
Desmodus_rotundus	1	296	23808	132405	151056	230857	255	108852	127503	207304	67314	85965	165766	1266	81067	0
Diceros_bicornis	1	803	26577	147669	169755	279584	277	121369	143455	253284	70607	92693	202522	1435	111264	5702
Dromaius_novaehollandiae	1	381	18012	65435	87257	196850	124	47547	69369	178962	16491	38313	147906	2553	112146	213
Dromiciops_gliroides	1	0	33365	199375	242941	382376	500	166510	210076	349511	127845	171411	310846	2619	142054	9709
Elephas_maximus	1	62	30373	167060	190326	295611	255	136942	160208	265493	82122	105388	210673	1421	106706	1998
Eleutherodactylus_coqui	1	0	19945	76355	125924	157302	0	56349	105918	137296	39529	89098	120476	10257	41635	7214
Elgaria_multicarinata	0	1926	36973	96390	200393	311569	819	60236	164239	275415	2912	106915	218091	2209	113385	5107
Emys_orbicularis	1	1910	32501	1077184	1182648	1402143	2607	1107389	1212853	1432348	1137980	1243444	1462939	20685	240180	15425
Eptesicus_fuscus	1	286	31302	155259	171822	270373	261	124218	140781	239332	75223	91786	190337	1765	100316	3110
Equus_asinus	1	0	24916	144924	167419	274110	210	120218	142713	249404	67633	90128	196819	1446	108137	1963
Equus_caballus	1	302	24951	144676	167254	276302	0	119709	142287	251335	67407	89985	199033	1451	110499	4652
Equus_przewalskii	1	302	24950	144701	167194	276257	0	119735	142228	251291	67432	89925	198988	1450	110513	4652
Equus_quagga	1	301	24940	146379	167966	277270	261	121700	143287	252591	68928	90515	199819	1837	111141	4734
Erinaceus_europaeus	1	207	36232	185336	215036	351082	204	149308	179008	315054	100192	129892	265938	1008	137054	10008
Erpetoichthys_calabaricus	1	0	28156	35505295	35801412	14777233	5987	35483126	35779243	14755064	35448593	35744710	14720531	30559	20362586	20658703
Erythrolamprus_reginae	0	2410	20790	67985	114428	148291	0	47157	93600	127463	1327	47770	81633	387	34250	97
Eschrichtius_robustus	1	296	27648	147087	168758	380946	279	119718	141389	353577	72138	93809	305997	1621	213809	113993
Eubalaena_glacialis	1	304	26938	147152	168537	370124	293	120507	141892	343479	73851	95236	296823	1694	203281	102809
Eublepharis_macularius	0	3545563	3573328	3614789	3706600	3833401	129	41590	133401	260202	6211	98022	224823	4028	130829	3171
Eulemur_rufifrons	1	313	28605	130080	151903	258756	313	101788	123611	230464	58779	80602	187455	1436	108289	6838
Euleptes_europaea	0	9803	32168	77311	163257	311869	2182	47325	133271	281883	7227	93173	241785	5999	154611	4308
Falco_rusticolus	1	388	16308	59576	73257	138982	196	43464	57145	122870	12583	26264	91989	1894	67619	1206
Felis_catus	1	296	27887	165324	190586	296681	204	137641	162903	268998	67932	93194	199289	1570	107665	4918
Gallus_gallus	1	276	15172	52307	65396	116913	236	37371	50460	101977	8746	21835	73352	1643	53160	556
Gavia_stellata	1	884	16976	64177	78754	145972	333	47534	62111	129329	17094	31671	98889	2321	69539	291
Geotrypetes_seraphini	1	14950	172980	753806	1112245	1545940	26	580852	939291	1372986	273291	631730	1065425	62053	495748	14316
Globicephala_melas	1	0	27978	139802	161553	394949	269	112093	133844	367240	65010	86761	320157	519	233915	134632
Gopherus_flavomarginatus	1	2085	32424	471770	572625	787027	272	515208	616063	830465	545547	646402	860804	17516	231918	8154
Gorilla_gorilla	1	298	42596	185099	211434	331557	0	142273	168608	288731	93754	120089	240212	1481	121604	6113
Gracilinanus_agilis	1	293	44466	215164	256573	388993	6858	177556	218965	351385	133349	174758	307178	21138	153558	13331
Grus_americana	1	342	16172	61193	76510	138734	245	45266	60583	122807	15791	31108	93332	1903	64127	129
Gymnogyps_californianus	1	259	17080	64300	79961	145061	2696	49916	65577	130677	16262	31923	97023	2686	67786	182
Heliangelus_exortis	1	32	27646	81408	97956	181565	248	54010	70558	154167	15183	31731	115340	1760	85369	1919
Hemicordylus_capensis	0	1700	20303	57738	115179	179603	87	37522	94963	159387	664	58105	122529	2564	66988	1276
Heteronotia_binoei	0	9529	31346	91888	180704	353612	96	60638	149454	322362	5208	94024	266932	4620	177528	4978
Hippopotamus_amphibius	1	264	27131	133745	155993	342415	230	106844	129092	315514	64579	86827	273249	1575	187997	91299
Hirundo_rustica	1	338	15537	57692	71397	170207	326	42481	56186	154996	13147	26852	125662	1874	100684	38851
Homo_sapiens	1	294	43543	180931	207166	321811	263	137651	163886	278531	83537	109772	224417	1387	116032	927
Hyla_sarda	1	189	28380	172678	249027	328399	0	144200	220549	299921	129178	205527	284899	14428	93800	19928
Hyperolius_riggenbachi	1	10560816	10438308	9759522	9429025	8506712	151	542086	922504	1447217	419578	799996	1324709	121210	645923	315426
Indicator_indicator	1	1286	29735	99890	117761	757249	4575	74730	92601	732089	21885	39756	679244	3473	642961	604787
Jaculus_jaculus	1	573	43030	231178	256321	396580	252	188400	213543	353802	126919	152062	292321	1311	141570	8961
Lacerta_agilis	0	7	18012	56250	116532	192629	0	38204	98486	174583	5563	65845	141942	1789	77886	1785
Lagenorhynchus_albirostris	1	300	28018	143586	164104	379042	279	115847	136365	351303	58481	78999	293937	1519	216457	117041
Lagopus_muta	1	327	15190	53060	64737	118967	221	38091	49768	103998	9508	21185	75415	447	54677	457
Lemur_catta	1	298	27103	127810	149410	254016	269	100976	122576	227182	57430	79030	183636	1199	105805	5797
Leopardus_geoffroyi	1	297	28163	160264	185612	293186	224	132325	157673	265247	73684	99032	206606	1525	109099	4874
Lepisosteus_oculatus	1	0	13615	3581248	3531585	2733899	289	3567922	3518259	2720573	3547115	3497452	2699766	2371	755865	706202
Lepus_europaeus	1	1063	36071	165328	187162	293552	255	129512	151346	257736	70833	92667	199057	1403	107793	5244
Loxodonta_africana	1	0	30232	168466	190369	296633	192	138426	160329	266593	83581	105484	211748	1438	107702	2993
Lutra_lutra	1	303	29456	140452	163631	267608	234	111230	134409	238386	67244	90423	194400	1331	105308	4822
Lynx_canadensis	1	298	28485	161971	187323	294705	275	133761	159113	266495	85998	111350	218732	1648	109030	4934
Macaca_fascicularis	1	299	40418	179623	206227	328558	260	139465	166069	288400	85407	112011	234342	1383	123714	7020
Macaca_mulatta	1	297	40680	178923	205511	327050	217	138460	165048	286587	85081	111669	233208	1406	122945	6555
