Gene_name	Species_name	GC_content
ADAP2	Lagenorhynchus_obliquidens	55.84
ADAP2	Muntiacus_reevesi	55.21
ADAP2	Neomonachus_schauinslandi	55.28
ADAP2	Pongo_abelii	53.10
ADAP2	Cinclus_cinclus	46.28
ADAP2	Puma_yagouaroundi	55.64
ADAP2	Panthera_pardus	55.32
ADAP2	Mustela_erminea	55.44
ADAP2	Equus_caballus	56.52
ADAP2	Ficedula_albicollis	47.75
ADAP2	Moschus_berezovskii	55.82
ADAP2	Chroicocephalus_ridibundus	48.54
ADAP2	Nannospalax_galili	53.97
ADAP2	Rousettus_aegyptiacus	53.58
ADAP2	Indicator_indicator	49.50
ADAP2	Strigops_habroptila	48.68
ADAP2	Bos_taurus	55.03
ADAP2	Pteropus_alecto	53.75
ADAP2	Nomascus_leucogenys	54.44
ADAP2	Mustela_nigripes	55.73
ADAP2	Condylura_cristata	54.42
ADAP2	Canis_lupus_familiaris	55.11
ADAP2	Ceratotherium_simum_simum	54.64
ADAP2	Pongo_pygmaeus	53.18
ADAP2	Kogia_breviceps	55.33
ADAP2	Trachemys_scripta_elegans	50.59
ADAP2	Meles_meles	56.03
ADAP2	Neofelis_nebulosa	55.64
ADAP2	Nothoprocta_perdicaria	48.22
ADAP2	Nycticebus_coucang	54.35
ADAP2	Bison_bison_bison	55.14
ADAP2	Lepidothrix_coronata	49.86
ADAP2	Symphalangus_syndactylus	56.66
ADAP2	Balaenoptera_ricei	56.20
ADAP2	Sarcophilus_harrisii	51.15
ADAP2	Myotis_davidii	57.07
ADAP2	Pygoscelis_adeliae	45.74
ADAP2	Budorcas_taxicolor	55.61
ADAP2	Myotis_lucifugus	53.45
ADAP2	Pan_troglodytes	53.22
ADAP2	Molothrus_ater	47.57
ADAP2	Hyperolius_riggenbachi	50.66
ADAP2	Hipposideros_armiger	55.58
ADAP2	Saimiri_boliviensis	53.67
ADAP2	Oxyura_jamaicensis	48.38
ADAP2	Chinchilla_lanigera	58.63
ADAP2	Ochotona_curzoniae	56.69
ADAP2	Cyrtonyx_montezumae	48.90
ADAP2	Falco_naumanni	48.77
ADAP2	Falco_biarmicus	48.41
ADAP2	Corvus_hawaiiensis	46.92
ADAP2	Falco_peregrinus	48.41
ADAP2	Meriones_unguiculatus	55.56
ADAP2	Leptosomus_discolor	46.69
ADAP2	Spea_bombifrons	47.16
ADAP2	Marmota_marmota_marmota	54.67
ADAP2	Arvicanthis_niloticus	53.91
ADAP2	Monodelphis_domestica	51.85
ADAP2	Passer_montanus	51.83
ADAP2	Phyllostomus_hastatus	56.61
ADAP2	Ornithorhynchus_anatinus	54.08
ADAP2	Emys_orbicularis	50.72
ADAP2	Melospiza_melodia_melodia	47.75
ADAP2	Terrapene_triunguis	49.07
ADAP2	Dipodomys_ordii	54.94
ADAP2	Sorex_araneus	59.49
ADAP2	Motacilla_alba_alba	47.47
ADAP2	Meleagris_gallopavo	46.31
ADAP2	Phocoena_sinus	55.38
ADAP2	Cygnus_olor	51.32
ADAP2	Felis_catus	55.56
ADAP2	Otolemur_garnettii	54.07
ADAP2	Haemorhous_mexicanus	53.12
ADAP2	Eleutherodactylus_coqui	48.92
ADAP2	Lipotes_vexillifer	55.79
ADAP2	Canis_lupus_dingo	55.11
ADAP2	Saccopteryx_leptura	56.92
ADAP2	Pogoniulus_pusillus	50.84
ADAP2	Dipodomys_merriami	55.00
ADAP2	Falco_rusticolus	48.41
ADAP2	Eubalaena_glacialis	55.42
ADAP2	Leptonychotes_weddellii	56.08
ADAP2	Equus_przewalskii	56.43
ADAP2	Gallus_gallus	47.71
ADAP2	Carlito_syrichta	54.10
ADAP2	Numida_meleagris	47.07
ADAP2	Pipra_filicauda	50.05
ADAP2	Lynx_rufus	55.53
ADAP2	Corvus_kubaryi	47.20
ADAP2	Camelus_bactrianus	55.52
ADAP2	Chrysemys_picta_bellii	50.68
ADAP2	Callithrix_jacchus	53.02
ADAP2	Nyctibius_grandis	47.96
ADAP2	Rhinopithecus_bieti	53.98
ADAP2	Odobenus_rosmarus_divergens	55.70
ADAP2	Chelonia_mydas	50.27
ADAP2	Parus_major	48.30
ADAP2	Aythya_fuligula	48.72
ADAP2	Hippopotamus_amphibius_kiboko	56.64
ADAP2	Mesoplodon_densirostris	55.47
ADAP2	Alligator_sinensis	47.77
ADAP2	Choloepus_didactylus	55.07
ADAP2	Neopsephotus_bourkii	47.81
ADAP2	Bos_mutus	55.21
ADAP2	Pseudopodoces_humilis	48.21
ADAP2	Cavia_porcellus	56.34
ADAP2	Ochotona_princeps	56.99
ADAP2	Phacochoerus_africanus	56.34
ADAP2	Melospiza_georgiana	47.93
ADAP2	Grus_americana	47.61
ADAP2	Pan_paniscus	53.30
ADAP2	Haliaeetus_albicilla	47.96
ADAP2	Bufo_bufo	51.71
ADAP2	Dipodomys_spectabilis	55.00
ADAP2	Ovis_canadensis	55.12
ADAP2	Elephas_maximus_indicus	54.38
ADAP2	Aptenodytes_forsteri	46.05
ADAP2	Camarhynchus_parvulus	47.75
ADAP2	Gorilla_gorilla_gorilla	52.94
ADAP2	Eptesicus_fuscus	57.80
ADAP2	Panthera_uncia	55.39
ADAP2	Papio_anubis	53.52
ADAP2	Geospiza_fortis	46.99
ADAP2	Erinaceus_europaeus	52.41
ADAP2	Trachypithecus_francoisi	54.16
ADAP2	Athene_cunicularia	46.62
ADAP2	Rhinatrema_bivittatum	49.52
ADAP2	Talpa_occidentalis	54.86
ADAP2	Callorhinus_ursinus	54.68
ADAP2	Gavialis_gangeticus	48.63
ADAP2	Apteryx_rowi	46.96
ADAP2	Lagopus_muta	47.62
ADAP2	Odocoileus_virginianus	55.30
ADAP2	Haliaeetus_leucocephalus	47.96
ADAP2	Eulemur_rufifrons	55.38
ADAP2	Pseudophryne_corroboree	42.47
ADAP2	Alexandromys_fortis	56.74
ADAP2	Ovis_aries	55.23
ADAP2	Suricata_suricatta	56.90
ADAP2	Equus_asinus	56.69
ADAP2	Pezoporus_wallicus	47.45
ADAP2	Corvus_brachyrhynchos	45.45
ADAP2	Phocoena_phocoena	55.21
ADAP2	Rhinopithecus_roxellana	54.07
ADAP2	Panthera_onca	55.64
ADAP2	Myotis_yumanensis	57.74
ADAP2	Mauremys_reevesii	50.86
ADAP2	Antechinus_flavipes	49.96
ADAP2	Grammomys_surdaster	53.58
ADAP2	Manis_pentadactyla	54.42
ADAP2	Melopsittacus_undulatus	47.72
ADAP2	Ictidomys_tridecemlineatus	52.88
ADAP2	Vidua_macroura	51.96
ADAP2	Passer_domesticus	51.59
ADAP2	Onychostruthus_taczanowskii	47.75
ADAP2	Pteropus_giganteus	54.01
ADAP2	Corvus_moneduloides	47.84
ADAP2	Charadrius_vociferus	47.17
ADAP2	Caretta_caretta	50.18
ADAP2	Gavia_stellata	48.51
ADAP2	Hirundo_rustica	47.84
ADAP2	Agelaius_phoeniceus	47.57
ADAP2	Globicephala_melas	56.26
ADAP2	Molossus_molossus	56.78
ADAP2	Coturnix_japonica	47.85
ADAP2	Nipponia_nippon	47.19
ADAP2	Mustela_putorius_furo	55.78
ADAP2	Mesocricetus_auratus	54.92
ADAP2	Enhydra_lutris_kenyoni	55.40
ADAP2	Petaurus_breviceps_papuanus	51.15
ADAP2	Chaetura_pelagica	47.31
ADAP2	Eumetopias_jubatus	54.68
ADAP2	Vulpes_lagopus	55.11
ADAP2	Microcebus_murinus	55.64
ADAP2	Anomalospiza_imberbis	48.17
ADAP2	Sturnira_hondurensis	57.66
ADAP2	Molothrus_aeneus	47.47
ADAP2	Chionomys_nivalis	53.89
ADAP2	Phyllostomus_discolor	56.72
ADAP2	Perognathus_longimembris_pacificus	54.51
ADAP2	Microcaecilia_unicolor	48.37
ADAP2	Prionailurus_viverrinus	55.82
ADAP2	Tympanuchus_pallidicinctus	52.24
ADAP2	Apteryx_mantelli	48.58
ADAP2	Ursus_maritimus	56.06
ADAP2	Mirounga_leonina	55.93
ADAP2	Neogale_vison	55.31
ADAP2	Peromyscus_maniculatus_bairdii	56.17
ADAP2	Lutra_lutra	55.72
ADAP2	Caloenas_nicobarica	48.63
ADAP2	Saccopteryx_bilineata	56.89
ADAP2	Cuculus_canorus	46.89
ADAP2	Pleurodeles_waltl	45.02
ADAP2	Camelus_dromedarius	55.99
ADAP2	Centrocercus_urophasianus	47.34
ADAP2	Calypte_anna	47.68
ADAP2	Piliocolobus_tephrosceles	54.16
ADAP2	Zonotrichia_leucophrys_gambelii	50.08
ADAP2	Oenanthe_melanoleuca	47.84
ADAP2	Xenopus_tropicalis	50.66
ADAP2	Puma_concolor	53.64
ADAP2	Prionailurus_bengalensis	55.82
ADAP2	Dryobates_pubescens	50.05
ADAP2	Ursus_arctos	55.24
ADAP2	Aphelocoma_coerulescens	47.02
ADAP2	Microtus_ochrogaster	53.98
ADAP2	Desmodus_rotundus	56.78
ADAP2	Melanerpes_formicivorus	49.95
ADAP2	Pipistrellus_kuhlii	59.93
ADAP2	Galeopterus_variegatus	52.68
ADAP2	Acomys_russatus	55.15
ADAP2	Peromyscus_californicus_insignis	55.29
ADAP2	Hylobates_moloch	54.59
ADAP2	Lynx_canadensis	55.64
ADAP2	Homo_sapiens	54.09
ADAP2	Ammospiza_caudacuta	47.66
ADAP2	Manacus_vitellinus	50.50
ADAP2	Bombina_bombina	41.82
ADAP2	Pseudorca_crassidens	55.84
ADAP2	Echinops_telfairi	55.56
ADAP2	Dama_dama	55.12
ADAP2	Pelobates_fuscus	43.22
ADAP2	Ursus_americanus	56.06
ADAP2	Leopardus_geoffroyi	55.39
ADAP2	Accipiter_gentilis	47.77
ADAP2	Crocodylus_porosus	48.91
ADAP2	Sorex_fumeus	58.62
ADAP2	Melozone_crissalis	47.84
ADAP2	Mirounga_angustirostris	55.83
ADAP2	Chlorocebus_sabaeus	54.24
ADAP2	Camelus_ferus	56.26
ADAP2	Cricetulus_griseus	53.59
ADAP2	Peromyscus_eremicus	55.29
ADAP2	Lepus_europaeus	58.88
ADAP2	Mus_caroli	53.81
ADAP2	Gracilinanus_agilis	54.00
ADAP2	Dermochelys_coriacea	49.37
ADAP2	Chamaea_fasciata	47.75
ADAP2	Bubalus_kerabau	55.38
ADAP2	Cervus_elaphus	55.29
ADAP2	Mastomys_coucha	52.97
ADAP2	Myotis_brandtii	54.95
ADAP2	Aquila_chrysaetos_chrysaetos	47.77
ADAP2	Poecile_atricapillus	47.84
ADAP2	Marmota_flaviventris	55.73
ADAP2	Ammospiza_nelsoni	47.66
ADAP2	Pelodiscus_sinensis	51.24
ADAP2	Phaenicophaeus_curvirostris	48.53
ADAP2	Delphinapterus_leucas	55.21
ADAP2	Manacus_candei	50.51
ADAP2	Orycteropus_afer_afer	52.46
ADAP2	Rattus_rattus	53.90
ADAP2	Octodon_degus	56.77
ADAP2	Zalophus_californianus	55.44
ADAP2	Mauremys_mutica	50.50
ADAP2	Opisthocomus_hoazin	46.74
ADAP2	Aotus_nancymaae	54.33
ADAP2	Cebus_imitator	53.68
ADAP2	Balaenoptera_acutorostrata	55.41
ADAP2	Sus_scrofa	57.54
ADAP2	Phodopus_roborovskii	52.68
ADAP2	Apodemus_sylvaticus	54.52
ADAP2	Suncus_etruscus	55.91
ADAP2	Acinonyx_jubatus	55.56
ADAP2	Patagioenas_fasciata	47.16
ADAP2	Pezoporus_flaviventris	47.45
ADAP2	Lemur_catta	54.95
ADAP2	Jaculus_jaculus	55.12
ADAP2	Bubalus_bubalis	55.38
ADAP2	Macaca_mulatta	53.42
ADAP2	Neopelma_chrysocephalum	49.77
ADAP2	Pteronotus_mesoamericanus	56.52
ADAP2	Cervus_canadensis	53.80
ADAP2	Balaenoptera_musculus	55.16
ADAP2	Malaclemys_terrapin_pileata	50.32
ADAP2	Bos_javanicus	55.05
ADAP2	Colius_striatus	49.32
ADAP2	Rattus_norvegicus	54.73
ADAP2	Phascolarctos_cinereus	52.03
ADAP2	Empidonax_traillii	51.52
ADAP2	Onychomys_torridus	54.57
ADAP2	Falco_cherrug	48.41
ADAP2	Sciurus_carolinensis	54.59
ADAP2	Lagopus_leucura	47.71
ADAP2	Macaca_thibetana_thibetana	54.16
ADAP2	Panthera_tigris	55.56
ADAP2	Diceros_bicornis_minor	56.08
ADAP2	Sturnus_vulgaris	46.65
ADAP2	Prinia_subflava	48.21
ADAP2	Capra_hircus	55.03
ADAP2	Calidris_pugnax	49.54
ADAP2	Phasianus_colchicus	52.15
ADAP2	Peromyscus_leucopus	55.99
ADAP2	Myotis_myotis	56.93
ADAP2	Mus_musculus	54.16
ADAP2	Ailuropoda_melanoleuca	55.90
ADAP2	Ranitomeya_imitator	54.50
ADAP2	Fukomys_damarensis	56.48
ADAP2	Microtus_oregoni	53.89
ADAP2	Struthio_camelus	48.40
ADAP2	Panthera_leo	55.38
ADRA1B	Caloenas_nicobarica	44.31
ADRA1B	Choloepus_didactylus	62.98
ADRA1B	Bos_javanicus	62.78
ADRA1B	Marmota_flaviventris	63.75
ADRA1B	Xenopus_tropicalis	45.88
ADRA1B	Dermochelys_coriacea	45.84
ADRA1B	Puma_yagouaroundi	64.35
ADRA1B	Passer_domesticus	56.75
ADRA1B	Dipodomys_spectabilis	69.62
ADRA1B	Onychomys_torridus	61.17
ADRA1B	Lepus_europaeus	63.90
ADRA1B	Pseudorca_crassidens	63.00
ADRA1B	Arvicola_amphibius	59.57
ADRA1B	Mustela_erminea	63.26
ADRA1B	Oxyura_jamaicensis	43.70
ADRA1B	Neopsephotus_bourkii	44.08
ADRA1B	Rattus_rattus	60.91
ADRA1B	Panthera_uncia	64.16
ADRA1B	Rhinolophus_ferrumequinum	63.96
ADRA1B	Empidonax_traillii	48.60
ADRA1B	Molossus_molossus	63.37
ADRA1B	Hylobates_moloch	62.82
ADRA1B	Anomalospiza_imberbis	55.87
ADRA1B	Mirounga_angustirostris	64.55
ADRA1B	Pygoscelis_adeliae	43.90
ADRA1B	Ursus_arctos	64.54
ADRA1B	Amblyraja_radiata	48.51
ADRA1B	Catharus_ustulatus	57.13
ADRA1B	Meleagris_gallopavo	43.78
ADRA1B	Hyla_sarda	47.12
ADRA1B	Canis_lupus_dingo	66.21
ADRA1B	Camelus_dromedarius	63.96
ADRA1B	Tinamus_guttatus	45.86
ADRA1B	Trichechus_manatus_latirostris	61.78
ADRA1B	Struthio_camelus	44.42
ADRA1B	Ranitomeya_imitator	45.61
ADRA1B	Neogale_vison	63.58
ADRA1B	Geotrypetes_seraphini	52.01
ADRA1B	Acinonyx_jubatus	64.41
ADRA1B	Sapajus_apella	64.80
ADRA1B	Canis_lupus_familiaris	66.28
ADRA1B	Felis_catus	64.35
ADRA1B	Nipponia_nippon	44.88
ADRA1B	Opisthocomus_hoazin	50.37
ADRA1B	Lagenorhynchus_obliquidens	63.00
ADRA1B	Indicator_indicator	42.99
ADRA1B	Leopardus_geoffroyi	64.22
ADRA1B	Gopherus_evgoodei	45.44
ADRA1B	Passer_montanus	56.61
ADRA1B	Physeter_macrocephalus	63.32
ADRA1B	Fukomys_damarensis	57.83
ADRA1B	Protopterus_annectens	42.27
ADRA1B	Suricata_suricatta	60.58
ADRA1B	Myotis_myotis	64.48
ADRA1B	Urocitellus_parryii	63.88
ADRA1B	Chelonoidis_abingdonii	45.94
ADRA1B	Eumetopias_jubatus	63.96
ADRA1B	Hipposideros_armiger	64.99
ADRA1B	Gracilinanus_agilis	53.60
ADRA1B	Kogia_breviceps	63.58
ADRA1B	Gorilla_gorilla_gorilla	63.13
ADRA1B	Coturnix_japonica	43.85
ADRA1B	Myotis_brandtii	57.97
ADRA1B	Peromyscus_leucopus	61.49
ADRA1B	Homo_sapiens	63.13
ADRA1B	Microcebus_murinus	65.06
ADRA1B	Ceratotherium_simum_simum	64.07
ADRA1B	Acanthisitta_chloris	54.79
ADRA1B	Melozone_crissalis	58.15
ADRA1B	Pongo_abelii	63.19
ADRA1B	Halichoerus_grypus	64.36
ADRA1B	Myodes_glareolus	60.39
ADRA1B	Cercocebus_atys	63.38
ADRA1B	Chrysemys_picta_bellii	46.33
ADRA1B	Chelonia_mydas	45.96
ADRA1B	Mustela_putorius_furo	63.38
ADRA1B	Vidua_chalybeata	55.87
ADRA1B	Chamaea_fasciata	57.93
ADRA1B	Ovis_canadensis	63.37
ADRA1B	Phacochoerus_africanus	62.87
ADRA1B	Pteronotus_mesoamericanus	63.89
ADRA1B	Pan_paniscus	63.19
ADRA1B	Strigops_habroptila	44.62
ADRA1B	Elephantulus_edwardii	62.22
ADRA1B	Calidris_pugnax	43.18
ADRA1B	Gallus_gallus	43.72
ADRA1B	Gymnogyps_californianus	44.10
ADRA1B	Agelaius_phoeniceus	56.48
ADRA1B	Equus_asinus	64.59
ADRA1B	Peromyscus_californicus_insignis	61.42
ADRA1B	Erinaceus_europaeus	64.36
ADRA1B	Zalophus_californianus	64.09
ADRA1B	Chionomys_nivalis	60.45
ADRA1B	Castor_canadensis	62.86
ADRA1B	Melospiza_georgiana	57.87
ADRA1B	Apteryx_mantelli	44.84
ADRA1B	Meriones_unguiculatus	61.55
ADRA1B	Equus_przewalskii	64.65
ADRA1B	Cyanistes_caeruleus	55.22
ADRA1B	Zonotrichia_albicollis	57.33
ADRA1B	Zonotrichia_leucophrys_gambelii	57.26
ADRA1B	Marmota_marmota_marmota	57.45
ADRA1B	Hirundo_rustica	56.64
ADRA1B	Rhinopithecus_bieti	57.08
ADRA1B	Pelodiscus_sinensis	43.53
ADRA1B	Lutra_lutra	63.58
ADRA1B	Anas_platyrhynchos	44.21
ADRA1B	Capra_hircus	63.30
ADRA1B	Pelobates_fuscus	44.84
ADRA1B	Neomonachus_schauinslandi	63.85
ADRA1B	Chlamydotis_macqueenii	43.99
ADRA1B	Neofelis_nebulosa	64.16
ADRA1B	Myotis_daubentonii	64.67
ADRA1B	Chroicocephalus_ridibundus	43.18
ADRA1B	Pteropus_giganteus	64.80
ADRA1B	Nestor_notabilis	44.23
ADRA1B	Melospiza_melodia_melodia	57.60
ADRA1B	Rissa_tridactyla	43.44
ADRA1B	Sorex_fumeus	68.99
ADRA1B	Numida_meleagris	43.59
ADRA1B	Harpia_harpyja	43.57
