Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value
ADAP2	Reptilia	Testudines	Terrapene_carolina	3074	7106	0.432592
ADRA1B	Aves	Anseriformes	Anas_platyrhynchos	16079	17052	0.942939
ADRA1B	Lepidosauria	Squamata	Anolis_carolinensis	1046	17052	0.0613418
ADRA1B	Lepidosauria	Squamata	Anolis_sagrei	1166	17052	0.0683791
ADRA1B	Aves	Anseriformes	Anser_brachyrhynchus	16906	17052	0.991438
ADRA1B	Aves	Accipitriformes	Aquila_chrysaetos	16786	17052	0.984401
ADRA1B	Reptilia	Testudines	Chelonoidis_abingdonii	11009	17052	0.645613
ADRA1B	Reptilia	Testudines	Chrysemys_picta	11097	17052	0.650774
ADRA1B	Aves	Galliformes	Coturnix_japonica	14025	17052	0.822484
ADRA1B	Reptilia	Crocodylia	Crocodylus_porosus	8067	17052	0.473082
ADRA1B	Lepidosauria	Squamata	Eublepharis_macularius	1082	17052	0.063453
ADRA1B	Lepidosauria	Squamata	Euleptes_europaea	1267	17052	0.0743021
ADRA1B	Aves	Passeriformes	Ficedula_albicollis	10861	17052	0.636934
ADRA1B	Aves	Passeriformes	Geospiza_fortis	11858	17052	0.695402
ADRA1B	Reptilia	Testudines	Gopherus_evgoodei	10476	17052	0.614356
ADRA1B	Lepidosauria	Squamata	Laticauda_laticaudata	1008	17052	0.0591133
ADRA1B	Actinistia	Coelacanthiformes	Latimeria_chalumnae	1501	17052	0.0880249
ADRA1B	Aves	Galliformes	Meleagris_gallopavo	16745	17052	0.981996
ADRA1B	Lepidosauria	Squamata	Naja_naja	1172	17052	0.0687309
ADRA1B	Lepidosauria	Squamata	Notechis_scutatus	1031	17052	0.0604621
ADRA1B	Aves	Passeriformes	Parus_major	10516	17052	0.616702
ADRA1B	Reptilia	Testudines	Pelodiscus_sinensis	5251	17052	0.30794
ADRA1B	Lepidosauria	Squamata	Podarcis_muralis	1025	17052	0.0601103
ADRA1B	Lepidosauria	Squamata	Podarcis_raffonei	1025	17052	0.0601103
ADRA1B	Lepidosauria	Squamata	Pogona_vitticeps_zw	1076	17052	0.0631011
ADRA1B	Lepidosauria	Squamata	Pogona_vitticeps_zz	1268	17052	0.0743608
ADRA1B	Lepidosauria	Squamata	Pseudonaja_textilis	1031	17052	0.0604621
ADRA1B	Lepidosauria	Squamata	Rhineura_floridana	1074	17052	0.0629838
ADRA1B	Lepidosauria	Squamata	Salvator_merianae	1162	17052	0.0681445
ADRA1B	Aves	Passeriformes	Serinus_canaria	11943	17052	0.700387
ADRA1B	Lepidosauria	Sphenodontia	Sphenodon_punctatus	3885	17052	0.227833
ADRA1B	Aves	Psittaciformes	Strigops_habroptila	16726	17052	0.980882
ADRA1B	Aves	Struthioniformes	Struthio_camelus	16711	17052	0.980002
ADRA1B	Aves	Passeriformes	Taeniopygia_guttata	11518	17052	0.675463
ADRA1B	Reptilia	Testudines	Terrapene_carolina	10742	17052	0.629955
ARL11	Aves	Anseriformes	Anas_platyrhynchos	4491	5824	0.77112
ARL11	Lepidosauria	Squamata	Anolis_carolinensis	491	5824	0.0843063
ARL11	Lepidosauria	Squamata	Anolis_sagrei	520	5824	0.0892857
ARL11	Aves	Anseriformes	Anser_brachyrhynchus	5176	5824	0.888736
ARL11	Aves	Accipitriformes	Aquila_chrysaetos	5095	5824	0.874828
ARL11	Reptilia	Testudines	Chelonoidis_abingdonii	1219	5824	0.209306
ARL11	Reptilia	Testudines	Chrysemys_picta	1094	5824	0.187843
ARL11	Aves	Galliformes	Coturnix_japonica	2476	5824	0.425137
ARL11	Reptilia	Crocodylia	Crocodylus_porosus	480	5824	0.0824176
ARL11	Lepidosauria	Squamata	Eublepharis_macularius	399	5824	0.0685096
ARL11	Lepidosauria	Squamata	Euleptes_europaea	429	5824	0.0736607
ARL11	Aves	Passeriformes	Ficedula_albicollis	4741	5824	0.814045
ARL11	Aves	Passeriformes	Geospiza_fortis	5056	5824	0.868132
ARL11	Reptilia	Testudines	Gopherus_evgoodei	1204	5824	0.206731
ARL11	Lepidosauria	Squamata	Laticauda_laticaudata	420	5824	0.0721154
ARL11	Actinistia	Coelacanthiformes	Latimeria_chalumnae	420	5824	0.0721154
ARL11	Aves	Galliformes	Meleagris_gallopavo	5824	5824	1
ARL11	Lepidosauria	Squamata	Naja_naja	393	5824	0.0674794
ARL11	Lepidosauria	Squamata	Notechis_scutatus	420	5824	0.0721154
ARL11	Aves	Passeriformes	Parus_major	5159	5824	0.885817
ARL11	Reptilia	Testudines	Pelodiscus_sinensis	1158	5824	0.198832
ARL11	Lepidosauria	Squamata	Podarcis_muralis	449	5824	0.0770948
ARL11	Lepidosauria	Squamata	Podarcis_raffonei	507	5824	0.0870536
ARL11	Lepidosauria	Squamata	Pogona_vitticeps_zw	412	5824	0.0707418
ARL11	Lepidosauria	Squamata	Pogona_vitticeps_zz	412	5824	0.0707418
ARL11	Lepidosauria	Squamata	Pseudonaja_textilis	420	5824	0.0721154
ARL11	Lepidosauria	Squamata	Rhineura_floridana	449	5824	0.0770948
ARL11	Lepidosauria	Squamata	Salvator_merianae	423	5824	0.0726305
ARL11	Aves	Passeriformes	Serinus_canaria	4816	5824	0.826923
ARL11	Lepidosauria	Sphenodontia	Sphenodon_punctatus	574	5824	0.0985577
ARL11	Aves	Psittaciformes	Strigops_habroptila	4873	5824	0.83671
ARL11	Aves	Struthioniformes	Struthio_camelus	4685	5824	0.80443
ARL11	Aves	Passeriformes	Taeniopygia_guttata	5044	5824	0.866071
ARL11	Reptilia	Testudines	Terrapene_carolina	1235	5824	0.212054
C11orf74	Aves	Anseriformes	Anas_platyrhynchos	34705	39385	0.881173
C11orf74	Lepidosauria	Squamata	Anolis_carolinensis	3254	39385	0.0826203
C11orf74	Lepidosauria	Squamata	Anolis_sagrei	3796	39385	0.0963819
C11orf74	Aves	Anseriformes	Anser_brachyrhynchus	35108	39385	0.891405
C11orf74	Aves	Accipitriformes	Aquila_chrysaetos	37133	39385	0.942821
C11orf74	Reptilia	Testudines	Chelonoidis_abingdonii	20500	39385	0.520503
C11orf74	Reptilia	Testudines	Chrysemys_picta	19816	39385	0.503136
C11orf74	Aves	Galliformes	Coturnix_japonica	37325	39385	0.947696
C11orf74	Reptilia	Crocodylia	Crocodylus_porosus	17912	39385	0.454792
C11orf74	Lepidosauria	Squamata	Eublepharis_macularius	5074	39385	0.128831
C11orf74	Lepidosauria	Squamata	Euleptes_europaea	5539	39385	0.140637
C11orf74	Aves	Passeriformes	Ficedula_albicollis	33446	39385	0.849207
C11orf74	Aves	Passeriformes	Geospiza_fortis	33345	39385	0.846642
C11orf74	Reptilia	Testudines	Gopherus_evgoodei	19923	39385	0.505852
C11orf74	Lepidosauria	Squamata	Laticauda_laticaudata	2366	39385	0.0600736
C11orf74	Actinistia	Coelacanthiformes	Latimeria_chalumnae	302	39385	0.00766789
C11orf74	Aves	Galliformes	Meleagris_gallopavo	39098	39385	0.992713
C11orf74	Lepidosauria	Squamata	Naja_naja	3337	39385	0.0847277
C11orf74	Lepidosauria	Squamata	Notechis_scutatus	3253	39385	0.0825949
C11orf74	Aves	Passeriformes	Parus_major	33482	39385	0.850121
C11orf74	Reptilia	Testudines	Pelodiscus_sinensis	15757	39385	0.400076
C11orf74	Lepidosauria	Squamata	Podarcis_muralis	4184	39385	0.106233
C11orf74	Lepidosauria	Squamata	Podarcis_raffonei	4781	39385	0.121391
C11orf74	Lepidosauria	Squamata	Pogona_vitticeps_zw	3686	39385	0.0935889
C11orf74	Lepidosauria	Squamata	Pogona_vitticeps_zz	3639	39385	0.0923956
C11orf74	Lepidosauria	Squamata	Pseudonaja_textilis	3347	39385	0.0849816
C11orf74	Lepidosauria	Squamata	Rhineura_floridana	4883	39385	0.123981
C11orf74	Lepidosauria	Squamata	Salvator_merianae	3414	39385	0.0866827
C11orf74	Aves	Passeriformes	Serinus_canaria	33778	39385	0.857636
C11orf74	Lepidosauria	Sphenodontia	Sphenodon_punctatus	8874	39385	0.225314
C11orf74	Aves	Psittaciformes	Strigops_habroptila	28784	39385	0.730837
C11orf74	Aves	Struthioniformes	Struthio_camelus	34886	39385	0.885769
C11orf74	Aves	Passeriformes	Taeniopygia_guttata	32483	39385	0.824756
C11orf74	Reptilia	Testudines	Terrapene_carolina	20955	39385	0.532055
CAV3	Aves	Anseriformes	Anas_platyrhynchos	3363	3388	0.992621
CAV3	Lepidosauria	Squamata	Anolis_carolinensis	491	3388	0.144923
CAV3	Lepidosauria	Squamata	Anolis_sagrei	478	3388	0.141086
CAV3	Aves	Anseriformes	Anser_brachyrhynchus	3315	3388	0.978453
CAV3	Aves	Accipitriformes	Aquila_chrysaetos	3316	3388	0.978749
CAV3	Reptilia	Testudines	Chelonoidis_abingdonii	500	3388	0.14758
CAV3	Reptilia	Testudines	Chrysemys_picta	502	3388	0.14817
CAV3	Aves	Galliformes	Coturnix_japonica	3378	3388	0.997048
CAV3	Reptilia	Crocodylia	Crocodylus_porosus	525	3388	0.154959
CAV3	Lepidosauria	Squamata	Eublepharis_macularius	437	3388	0.128985
CAV3	Lepidosauria	Squamata	Euleptes_europaea	526	3388	0.155254
CAV3	Aves	Passeriformes	Ficedula_albicollis	2795	3388	0.82497
CAV3	Aves	Passeriformes	Geospiza_fortis	2869	3388	0.846812
CAV3	Reptilia	Testudines	Gopherus_evgoodei	513	3388	0.151417
CAV3	Lepidosauria	Squamata	Laticauda_laticaudata	502	3388	0.14817
CAV3	Actinistia	Coelacanthiformes	Latimeria_chalumnae	569	3388	0.167946
CAV3	Aves	Galliformes	Meleagris_gallopavo	3388	3388	1
CAV3	Lepidosauria	Squamata	Naja_naja	568	3388	0.167651
CAV3	Lepidosauria	Squamata	Notechis_scutatus	502	3388	0.14817
CAV3	Aves	Passeriformes	Parus_major	3023	3388	0.892267
CAV3	Reptilia	Testudines	Pelodiscus_sinensis	524	3388	0.154664
CAV3	Lepidosauria	Squamata	Podarcis_muralis	449	3388	0.132527
CAV3	Lepidosauria	Squamata	Podarcis_raffonei	469	3388	0.13843
CAV3	Lepidosauria	Squamata	Pogona_vitticeps_zw	468	3388	0.138135
CAV3	Lepidosauria	Squamata	Pogona_vitticeps_zz	527	3388	0.155549
CAV3	Lepidosauria	Squamata	Pseudonaja_textilis	502	3388	0.14817
CAV3	Lepidosauria	Squamata	Rhineura_floridana	504	3388	0.14876
CAV3	Lepidosauria	Squamata	Salvator_merianae	515	3388	0.152007
CAV3	Aves	Passeriformes	Serinus_canaria	2845	3388	0.839728
CAV3	Lepidosauria	Sphenodontia	Sphenodon_punctatus	538	3388	0.158796
CAV3	Aves	Psittaciformes	Strigops_habroptila	3316	3388	0.978749
CAV3	Aves	Struthioniformes	Struthio_camelus	932	3388	0.275089
CAV3	Aves	Passeriformes	Taeniopygia_guttata	3267	3388	0.964286
CAV3	Reptilia	Testudines	Terrapene_carolina	502	3388	0.14817
CYYR1	Aves	Anseriformes	Anas_platyrhynchos	49109	56761	0.865189
CYYR1	Lepidosauria	Squamata	Anolis_carolinensis	326	56761	0.00574338
CYYR1	Lepidosauria	Squamata	Anolis_sagrei	684	56761	0.0120505
CYYR1	Aves	Anseriformes	Anser_brachyrhynchus	51900	56761	0.91436
CYYR1	Aves	Accipitriformes	Aquila_chrysaetos	51198	56761	0.901993
CYYR1	Reptilia	Testudines	Chelonoidis_abingdonii	14817	56761	0.261042
CYYR1	Reptilia	Testudines	Chrysemys_picta	19791	56761	0.348673
CYYR1	Aves	Galliformes	Coturnix_japonica	52441	56761	0.923891
CYYR1	Reptilia	Crocodylia	Crocodylus_porosus	0	56761	0
CYYR1	Lepidosauria	Squamata	Eublepharis_macularius	885	56761	0.0155917
CYYR1	Lepidosauria	Squamata	Euleptes_europaea	879	56761	0.015486
CYYR1	Aves	Passeriformes	Ficedula_albicollis	32946	56761	0.580434
CYYR1	Aves	Passeriformes	Geospiza_fortis	17702	56761	0.311869
CYYR1	Reptilia	Testudines	Gopherus_evgoodei	14860	56761	0.261799
CYYR1	Lepidosauria	Squamata	Laticauda_laticaudata	329	56761	0.00579623
CYYR1	Actinistia	Coelacanthiformes	Latimeria_chalumnae	482	56761	0.00849175
CYYR1	Aves	Galliformes	Meleagris_gallopavo	56137	56761	0.989007
CYYR1	Lepidosauria	Squamata	Naja_naja	0	56761	0
CYYR1	Lepidosauria	Squamata	Notechis_scutatus	329	56761	0.00579623
CYYR1	Aves	Passeriformes	Parus_major	0	56761	0
CYYR1	Reptilia	Testudines	Pelodiscus_sinensis	8602	56761	0.151548
CYYR1	Lepidosauria	Squamata	Podarcis_muralis	690	56761	0.0121562
CYYR1	Lepidosauria	Squamata	Podarcis_raffonei	813	56761	0.0143232
CYYR1	Lepidosauria	Squamata	Pogona_vitticeps_zw	691	56761	0.0121739
CYYR1	Lepidosauria	Squamata	Pogona_vitticeps_zz	1659	56761	0.0292278
CYYR1	Lepidosauria	Squamata	Pseudonaja_textilis	329	56761	0.00579623
CYYR1	Lepidosauria	Squamata	Rhineura_floridana	1029	56761	0.0181286
CYYR1	Lepidosauria	Squamata	Salvator_merianae	682	56761	0.0120153
CYYR1	Aves	Passeriformes	Serinus_canaria	20066	56761	0.353517
CYYR1	Lepidosauria	Sphenodontia	Sphenodon_punctatus	4331	56761	0.0763024
CYYR1	Aves	Psittaciformes	Strigops_habroptila	49746	56761	0.876412
CYYR1	Aves	Struthioniformes	Struthio_camelus	49693	56761	0.875478
