Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	left_gene
ADRA1B	Lepidosauria	Squamata	Pseudonaja_textilis	930	33108	0.0280899 TTC1	TTC1
ADRA1B	Lepidosauria	Squamata	Rhineura_floridana	1186	33108	0.0358222 TTC1	TTC1
ADRA1B	Lepidosauria	Squamata	Salvator_merianae	830	33108	0.0250695 TTC1	TTC1
ADRA1B	Aves	Passeriformes	Serinus_canaria	18773	33108	0.567023 TTC1	TTC1
ADRA1B	Lepidosauria	Sphenodontia	Sphenodon_punctatus	5818	33108	0.175728 TTC1	TTC1
ADRA1B	Aves	Psittaciformes	Strigops_habroptila	28820	33108	0.870484 TTC1	TTC1
ADRA1B	Aves	Struthioniformes	Struthio_camelus	30818	33108	0.930832 TTC1	TTC1
ADRA1B	Aves	Passeriformes	Taeniopygia_guttata	18733	33108	0.565815 TTC1	TTC1
ADRA1B	Reptilia	Testudines	Terrapene_carolina	11374	33108	0.343542 TTC1	TTC1
ARL11	Aves	Anseriformes	Anas_platyrhynchos	19477	20725	0.939783 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Anolis_carolinensis	2041	20725	0.0984801 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Anolis_sagrei	1958	20725	0.0944753 RCBTB1	RCBTB1
ARL11	Aves	Anseriformes	Anser_brachyrhynchus	20079	20725	0.96883 RCBTB1	RCBTB1
ARL11	Aves	Accipitriformes	Aquila_chrysaetos	19702	20725	0.950639 RCBTB1	RCBTB1
ARL11	Reptilia	Testudines	Chelonoidis_abingdonii	5709	20725	0.275464 RCBTB1	RCBTB1
ARL11	Reptilia	Testudines	Chrysemys_picta	6182	20725	0.298287 RCBTB1	RCBTB1
ARL11	Aves	Galliformes	Coturnix_japonica	16590	20725	0.800483 RCBTB1	RCBTB1
ARL11	Reptilia	Crocodylia	Crocodylus_porosus	3872	20725	0.186828 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Eublepharis_macularius	2017	20725	0.0973221 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Euleptes_europaea	2160	20725	0.104222 RCBTB1	RCBTB1
ARL11	Aves	Passeriformes	Ficedula_albicollis	19001	20725	0.916815 RCBTB1	RCBTB1
ARL11	Aves	Passeriformes	Geospiza_fortis	19207	20725	0.926755 RCBTB1	RCBTB1
ARL11	Reptilia	Testudines	Gopherus_evgoodei	5536	20725	0.267117 RCBTB1	RCBTB1
ARL11	Lepidosauria	Squamata	Laticauda_laticaudata	1939	20725	0.0935585 RCBTB1	RCBTB1
