Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	right_gene
ADRA1B	Lepidosauria	Squamata	Pogona_vitticeps_zz	1696	75852	0.0223593 IL12B	IL12B
ADRA1B	Lepidosauria	Squamata	Pseudonaja_textilis	1105	75852	0.0145678 IL12B	IL12B
ADRA1B	Lepidosauria	Squamata	Rhineura_floridana	1816	75852	0.0239414 IL12B	IL12B
ADRA1B	Lepidosauria	Squamata	Salvator_merianae	714	75852	0.00941307 IL12B	IL12B
ADRA1B	Aves	Passeriformes	Serinus_canaria	22842	75852	0.301139 IL12B	IL12B
ADRA1B	Lepidosauria	Sphenodontia	Sphenodon_punctatus	5593	75852	0.0737357 IL12B	IL12B
ADRA1B	Aves	Psittaciformes	Strigops_habroptila	61919	75852	0.816313 IL12B	IL12B
ADRA1B	Aves	Struthioniformes	Struthio_camelus	66276	75852	0.873754 IL12B	IL12B
ADRA1B	Aves	Passeriformes	Taeniopygia_guttata	23373	75852	0.30814 IL12B	IL12B
ADRA1B	Reptilia	Testudines	Terrapene_carolina	22942	75852	0.302457 IL12B	IL12B
ARL11	Aves	Anseriformes	Anas_platyrhynchos	43310	53204	0.814037 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Anolis_carolinensis	5842	53204	0.109804 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Anolis_sagrei	5881	53204	0.110537 KPNA3	KPNA3
ARL11	Aves	Anseriformes	Anser_brachyrhynchus	44276	53204	0.832193 KPNA3	KPNA3
ARL11	Aves	Accipitriformes	Aquila_chrysaetos	45048	53204	0.846703 KPNA3	KPNA3
ARL11	Reptilia	Testudines	Chelonoidis_abingdonii	10389	53204	0.195267 KPNA3	KPNA3
ARL11	Reptilia	Testudines	Chrysemys_picta	10466	53204	0.196715 KPNA3	KPNA3
ARL11	Aves	Galliformes	Coturnix_japonica	39269	53204	0.738084 KPNA3	KPNA3
ARL11	Reptilia	Crocodylia	Crocodylus_porosus	8563	53204	0.160947 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Eublepharis_macularius	5824	53204	0.109465 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Euleptes_europaea	5882	53204	0.110556 KPNA3	KPNA3
ARL11	Aves	Passeriformes	Ficedula_albicollis	39005	53204	0.733122 KPNA3	KPNA3
ARL11	Aves	Passeriformes	Geospiza_fortis	39099	53204	0.734888 KPNA3	KPNA3
ARL11	Reptilia	Testudines	Gopherus_evgoodei	11344	53204	0.213217 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Laticauda_laticaudata	5544	53204	0.104203 KPNA3	KPNA3
ARL11	Actinistia	Coelacanthiformes	Latimeria_chalumnae	4575	53204	0.0859898 KPNA3	KPNA3
ARL11	Aves	Galliformes	Meleagris_gallopavo	51753	53204	0.972728 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Naja_naja	5588	53204	0.10503 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Notechis_scutatus	5645	53204	0.106101 KPNA3	KPNA3
ARL11	Aves	Passeriformes	Parus_major	38449	53204	0.722671 KPNA3	KPNA3
ARL11	Reptilia	Testudines	Pelodiscus_sinensis	8159	53204	0.153353 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Podarcis_muralis	6198	53204	0.116495 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Podarcis_raffonei	6093	53204	0.114521 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Pogona_vitticeps_zw	6033	53204	0.113394 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Pogona_vitticeps_zz	6085	53204	0.114371 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Pseudonaja_textilis	5603	53204	0.105312 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Rhineura_floridana	5499	53204	0.103357 KPNA3	KPNA3
ARL11	Lepidosauria	Squamata	Salvator_merianae	2372	53204	0.0445831 KPNA3	KPNA3
ARL11	Aves	Passeriformes	Serinus_canaria	39201	53204	0.736806 KPNA3	KPNA3
ARL11	Lepidosauria	Sphenodontia	Sphenodon_punctatus	6798	53204	0.127772 KPNA3	KPNA3
ARL11	Aves	Psittaciformes	Strigops_habroptila	42250	53204	0.794113 KPNA3	KPNA3
ARL11	Aves	Struthioniformes	Struthio_camelus	40713	53204	0.765224 KPNA3	KPNA3
ARL11	Aves	Passeriformes	Taeniopygia_guttata	39360	53204	0.739794 KPNA3	KPNA3
ARL11	Reptilia	Testudines	Terrapene_carolina	10290	53204	0.193407 KPNA3	KPNA3
C11orf74	Aves	Anseriformes	Anas_platyrhynchos	439262	494469	0.888351 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Anolis_carolinensis	24238	494469	0.0490182 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Anolis_sagrei	29705	494469	0.0600745 LRRC4C	LRRC4C
C11orf74	Aves	Anseriformes	Anser_brachyrhynchus	447011	494469	0.904022 LRRC4C	LRRC4C
C11orf74	Aves	Accipitriformes	Aquila_chrysaetos	443726	494469	0.897379 LRRC4C	LRRC4C
C11orf74	Reptilia	Testudines	Chelonoidis_abingdonii	169846	494469	0.343492 LRRC4C	LRRC4C
C11orf74	Reptilia	Testudines	Chrysemys_picta	181164	494469	0.366381 LRRC4C	LRRC4C
C11orf74	Aves	Galliformes	Coturnix_japonica	441429	494469	0.892733 LRRC4C	LRRC4C
C11orf74	Reptilia	Crocodylia	Crocodylus_porosus	135582	494469	0.274197 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Eublepharis_macularius	37396	494469	0.0756286 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Euleptes_europaea	38733	494469	0.0783325 LRRC4C	LRRC4C
C11orf74	Aves	Passeriformes	Ficedula_albicollis	396588	494469	0.802048 LRRC4C	LRRC4C
C11orf74	Aves	Passeriformes	Geospiza_fortis	399968	494469	0.808884 LRRC4C	LRRC4C
C11orf74	Reptilia	Testudines	Gopherus_evgoodei	165108	494469	0.33391 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Laticauda_laticaudata	18357	494469	0.0371247 LRRC4C	LRRC4C
C11orf74	Actinistia	Coelacanthiformes	Latimeria_chalumnae	4671	494469	0.0094465 LRRC4C	LRRC4C
C11orf74	Aves	Galliformes	Meleagris_gallopavo	481749	494469	0.974275 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Naja_naja	20205	494469	0.040862 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Notechis_scutatus	19531	494469	0.0394989 LRRC4C	LRRC4C
C11orf74	Aves	Passeriformes	Parus_major	398032	494469	0.804969 LRRC4C	LRRC4C
C11orf74	Reptilia	Testudines	Pelodiscus_sinensis	115265	494469	0.233109 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Podarcis_muralis	34593	494469	0.0699599 LRRC4C	LRRC4C
C11orf74	Lepidosauria	Squamata	Podarcis_raffonei	41222	494469	0.0833662 LRRC4C	LRRC4C
