focal_gene	species_name	class	order	Left	Focal	Right
ELOVL3	Ficedula_albicollis	Aves	Passeriformes	0.954955	0.929894	1
ELOVL3	Geospiza_fortis	Aves	Passeriformes	1	1	1
ELOVL3	Gopherus_evgoodei	Reptilia	Testudines	0.954955	1	1
ELOVL3	Laticauda_laticaudata	Lepidosauria	Squamata	0.756156	0.891534	1
ELOVL3	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.947147	0.890212	1
ELOVL3	Meleagris_gallopavo	Aves	Galliformes	0.965766	1	1
ELOVL3	Naja_naja	Lepidosauria	Squamata	0.739339	0.716931	1
ELOVL3	Notechis_scutatus	Lepidosauria	Squamata	0.70991	0.716931	1
ELOVL3	Parus_major	Aves	Passeriformes	1	1	1
ELOVL3	Pelodiscus_sinensis	Reptilia	Testudines	0.800601	0.927249	1
ELOVL3	Podarcis_muralis	Lepidosauria	Squamata	0.954955	0.929894	1
ELOVL3	Podarcis_raffonei	Lepidosauria	Squamata	0.954955	0.929894	1
ELOVL3	Pogona_vitticeps_zw	Lepidosauria	Squamata	0.739339	0.984127	1
ELOVL3	Pogona_vitticeps_zz	Lepidosauria	Squamata	0.739339	0.984127	1
ELOVL3	Pseudonaja_textilis	Lepidosauria	Squamata	0.756156	0.891534	1
ELOVL3	Rhineura_floridana	Lepidosauria	Squamata	0.954955	0.945767	1
ELOVL3	Salvator_merianae	Lepidosauria	Squamata	0.824625	0.891534	1
ELOVL3	Serinus_canaria	Aves	Passeriformes	1	1	1
ELOVL3	Sphenodon_punctatus	Lepidosauria	Sphenodontia	0.954955	0.929894	1
ELOVL3	Strigops_habroptila	Aves	Psittaciformes	1	0.825397	1
ELOVL3	Struthio_camelus	Aves	Struthioniformes	0.954955	0.755291	1
ELOVL3	Taeniopygia_guttata	Aves	Passeriformes	1	0.825397	1
ELOVL3	Terrapene_carolina	Reptilia	Testudines	0.954955	1	1
FREM2	Anas_platyrhynchos	Aves	Anseriformes	1	1	1
FREM2	Anolis_carolinensis	Lepidosauria	Squamata	0.162877	0.988636	0.682353
FREM2	Anolis_sagrei	Lepidosauria	Squamata	0.332945	0.98306	0.976471
FREM2	Anser_brachyrhynchus	Aves	Anseriformes	1	1	1
FREM2	Aquila_chrysaetos	Aves	Accipitriformes	1	1	1
FREM2	Chelonoidis_abingdonii	Reptilia	Testudines	0.9862	0.99053	0.713725
FREM2	Chrysemys_picta	Reptilia	Testudines	0.9862	0.99053	0.713725
FREM2	Coturnix_japonica	Aves	Galliformes	1	1	1
FREM2	Crocodylus_porosus	Reptilia	Crocodylia	0.159767	0.99053	0.482353
FREM2	Eublepharis_macularius	Lepidosauria	Squamata	0.315646	0.991056	1
FREM2	Euleptes_europaea	Lepidosauria	Squamata	0.295627	0.998106	0.992157
FREM2	Ficedula_albicollis	Aves	Passeriformes	1	0.93045	1
FREM2	Geospiza_fortis	Aves	Passeriformes	1	1	1
FREM2	Gopherus_evgoodei	Reptilia	Testudines	0.9862	0.99053	0.713725
FREM2	Laticauda_laticaudata	Lepidosauria	Squamata	0.157434	0.988426	0.698039
FREM2	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.305734	0.975274	0.705882
FREM2	Meleagris_gallopavo	Aves	Galliformes	1	0.95423	1
FREM2	Naja_naja	Lepidosauria	Squamata	0.126919	0.988321	0.690196
FREM2	Notechis_scutatus	Lepidosauria	Squamata	0.193975	0.986953	0.698039
FREM2	Parus_major	Aves	Passeriformes	1	1	1
FREM2	Pelodiscus_sinensis	Reptilia	Testudines	0.928863	0.99053	0.705882
