focal_gene	species_name	class	order	Left	Focal	Right
ARL11	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.889091	0.703518	1
ARL11	Meleagris_gallopavo	Aves	Galliformes	1	1	1
ARL11	Naja_naja	Lepidosauria	Squamata	0.980606	0.658291	1
ARL11	Notechis_scutatus	Lepidosauria	Squamata	0.889091	0.703518	1
ARL11	Parus_major	Aves	Passeriformes	0.997576	0.99665	0.952199
ARL11	Pelodiscus_sinensis	Reptilia	Testudines	0.980606	0.931323	1
ARL11	Podarcis_muralis	Lepidosauria	Squamata	0.976364	0.725293	1
ARL11	Podarcis_raffonei	Lepidosauria	Squamata	0.976364	0.690117	0.971319
ARL11	Pogona_vitticeps_zw	Lepidosauria	Squamata	0.976364	0.690117	1
ARL11	Pogona_vitticeps_zz	Lepidosauria	Squamata	0.976364	0.690117	1
ARL11	Pseudonaja_textilis	Lepidosauria	Squamata	0.965455	0.703518	1
ARL11	Rhineura_floridana	Lepidosauria	Squamata	0.969091	0.752094	1
ARL11	Salvator_merianae	Lepidosauria	Squamata	0.965455	0.708543	0.881453
ARL11	Serinus_canaria	Aves	Passeriformes	0.989091	0.99665	1
ARL11	Sphenodon_punctatus	Lepidosauria	Sphenodontia	0.980606	0.926298	1
ARL11	Strigops_habroptila	Aves	Psittaciformes	0.995152	0.9933	1
ARL11	Struthio_camelus	Aves	Struthioniformes	0.988485	0.742044	0.952199
ARL11	Taeniopygia_guttata	Aves	Passeriformes	1	0.99665	1
ARL11	Terrapene_carolina	Reptilia	Testudines	0.980606	0.927973	1
C10orf128	Anas_platyrhynchos	Aves	Anseriformes	1	0.724747	1
C10orf128	Anolis_carolinensis	Lepidosauria	Squamata	0.808176	0	0.99211
C10orf128	Anolis_sagrei	Lepidosauria	Squamata	0.942348	0	0.977208
C10orf128	Anser_brachyrhynchus	Aves	Anseriformes	1	0.777778	1
C10orf128	Aquila_chrysaetos	Aves	Accipitriformes	1	1	1
C10orf128	Chelonoidis_abingdonii	Reptilia	Testudines	0.942348	0.656566	1
C10orf128	Chrysemys_picta	Reptilia	Testudines	0.942348	0.540404	1
C10orf128	Coturnix_japonica	Aves	Galliformes	1	1	1
C10orf128	Crocodylus_porosus	Reptilia	Crocodylia	0.942348	0.656566	1
C10orf128	Eublepharis_macularius	Lepidosauria	Squamata	0.830189	0	0.977865
C10orf128	Euleptes_europaea	Lepidosauria	Squamata	0.830189	0	0.923296
C10orf128	Ficedula_albicollis	Aves	Passeriformes	1	1	0.991891
C10orf128	Geospiza_fortis	Aves	Passeriformes	1	1	1
C10orf128	Gopherus_evgoodei	Reptilia	Testudines	0.830189	0.656566	1
C10orf128	Laticauda_laticaudata	Lepidosauria	Squamata	0.794549	0	0.884506
C10orf128	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.808176	0	0.640806
C10orf128	Meleagris_gallopavo	Aves	Galliformes	1	1	1
C10orf128	Naja_naja	Lepidosauria	Squamata	0.722222	0	0.947403
C10orf128	Notechis_scutatus	Lepidosauria	Squamata	0.609015	0	0.872671
C10orf128	Parus_major	Aves	Passeriformes	1	1	1
C10orf128	Pelodiscus_sinensis	Reptilia	Testudines	0.942348	0.540404	0.977865
C10orf128	Podarcis_muralis	Lepidosauria	Squamata	0.942348	0	0.934911
C10orf128	Podarcis_raffonei	Lepidosauria	Squamata	1	0	0.983344
C10orf128	Pogona_vitticeps_zw	Lepidosauria	Squamata	0.942348	0	0.983344
C10orf128	Pogona_vitticeps_zz	Lepidosauria	Squamata	0.942348	0	0.959895
C10orf128	Pseudonaja_textilis	Lepidosauria	Squamata	0.722222	0	0.947403
C10orf128	Rhineura_floridana	Lepidosauria	Squamata	0.942348	0	0.99474
C10orf128	Salvator_merianae	Lepidosauria	Squamata	0.830189	0	0.923954
C10orf128	Serinus_canaria	Aves	Passeriformes	1	1	1
C10orf128	Sphenodon_punctatus	Lepidosauria	Sphenodontia	0.768344	0.401515	1
C10orf128	Strigops_habroptila	Aves	Psittaciformes	1	1	1
C10orf128	Struthio_camelus	Aves	Struthioniformes	1	1	0.969099
C10orf128	Taeniopygia_guttata	Aves	Passeriformes	1	1	1
C10orf128	Terrapene_carolina	Reptilia	Testudines	0.942348	0.540404	1
C11orf74	Anas_platyrhynchos	Aves	Anseriformes	1	1	1
C11orf74	Anolis_carolinensis	Lepidosauria	Squamata	0.937574	0.31938	1
C11orf74	Anolis_sagrei	Lepidosauria	Squamata	0.951119	0.443411	1
C11orf74	Anser_brachyrhynchus	Aves	Anseriformes	1	1	1
C11orf74	Aquila_chrysaetos	Aves	Accipitriformes	1	1	1
C11orf74	Chelonoidis_abingdonii	Reptilia	Testudines	1	0.928682	1
C11orf74	Chrysemys_picta	Reptilia	Testudines	1	0.928682	1
C11orf74	Coturnix_japonica	Aves	Galliformes	1	1	1
C11orf74	Crocodylus_porosus	Reptilia	Crocodylia	1	0.928682	1
C11orf74	Eublepharis_macularius	Lepidosauria	Squamata	0.93934	0.213953	1
C11orf74	Euleptes_europaea	Lepidosauria	Squamata	0.975265	0.454264	1
C11orf74	Ficedula_albicollis	Aves	Passeriformes	1	1	1
C11orf74	Geospiza_fortis	Aves	Passeriformes	1	1	1
C11orf74	Gopherus_evgoodei	Reptilia	Testudines	1	0.928682	1
C11orf74	Laticauda_laticaudata	Lepidosauria	Squamata	0.937574	0.0604651	1
C11orf74	Latimeria_chalumnae	Actinistia	Coelacanthiformes	0.933451	0.213953	1
C11orf74	Meleagris_gallopavo	Aves	Galliformes	1	1	1
C11orf74	Naja_naja	Lepidosauria	Squamata	0.937574	0.379845	1
C11orf74	Notechis_scutatus	Lepidosauria	Squamata	0.937574	0.210853	1
C11orf74	Parus_major	Aves	Passeriformes	1	1	1
C11orf74	Pelodiscus_sinensis	Reptilia	Testudines	1	0.928682	1
C11orf74	Podarcis_muralis	Lepidosauria	Squamata	0.951119	0.310078	1
C11orf74	Podarcis_raffonei	Lepidosauria	Squamata	0.932862	0.32093	1
C11orf74	Pogona_vitticeps_zw	Lepidosauria	Squamata	0.951119	0.0682171	1
C11orf74	Pogona_vitticeps_zz	Lepidosauria	Squamata	0.951119	0.0682171	1
C11orf74	Pseudonaja_textilis	Lepidosauria	Squamata	0.937574	0.210853	1
C11orf74	Rhineura_floridana	Lepidosauria	Squamata	0.951119	0.31938	1
C11orf74	Salvator_merianae	Lepidosauria	Squamata	0.951119	0	1
C11orf74	Serinus_canaria	Aves	Passeriformes	1	1	1
C11orf74	Sphenodon_punctatus	Lepidosauria	Sphenodontia	1	0.928682	1
C11orf74	Strigops_habroptila	Aves	Psittaciformes	0.951119	0.888372	1
C11orf74	Struthio_camelus	Aves	Struthioniformes	1	1	1
C11orf74	Taeniopygia_guttata	Aves	Passeriformes	1	1	1
C11orf74	Terrapene_carolina	Reptilia	Testudines	1	0.928682	1
