Species_name	IL34_status	FCSK-SF3B3	SF3B3-MTSS2	MTSS2-HYDIN
Columba_livia	1	16530	13647	63514
Corvus_cornix_cornix	1	15338	13612	67022
Corvus_hawaiiensis	1	15389	13694	82267
Corvus_moneduloides	1	15348	12377	82228
Coturnix_japonica	1	14705	9454	51439
Crotalus_tigris	0	13440	249169	32729
Cynocephalus_volans	1	25957	68739	116329
Cyrtonyx_montezumae	1	16820	8511	51488
Dama_dama	1	25046	76856	36766028
Delphinapterus_leucas	1	28090	66911	201542
Dendropsophus_ebraccatus	1	19301	74009	44665
Dermochelys_coriacea	1	31280	474326	3876201
Desmodus_rotundus	1	23808	67314	99651
Diceros_bicornis_minor	1	26577	70607	111606
Dipodomys_merriami	1	24753	55084	100972
Dipodomys_spectabilis	1	23856	53363	98039
Dromaius_novaehollandiae	1	18012	16491	112146
Dromiciops_gliroides	1	33365	127845	142057
Elephas_maximus_indicus	1	30375	82122	198327
Eleutherodactylus_coqui	1	20151	39529	50225
Elgaria_multicarinata_webbii	0	37206	2912	113385
Emys_orbicularis	1	32501	1137980	240180
Eptesicus_fuscus	1	31302	75223	100316
Equus_asinus	1	24916	67633	108137
Equus_caballus	1	24951	67407	154083
Equus_przewalskii	1	24950	67432	110514
Erinaceus_europaeus	1	36232	100192	137064
Erythrolamprus_reginae	0	20790	1327	112551
Eschrichtius_robustus	1	27648	72138	213809
Eubalaena_glacialis	1	26938	73851	203281
Eublepharis_macularius	0	3576971	6211	130829
Eulemur_rufifrons	1	28605	58779	113233
Euleptes_europaea	0	32168	7227	154611
Falco_rusticolus	1	16308	12583	67621
Felis_catus	1	27887	67932	108660
Gallus_gallus	1	15172	8746	53160
Gavia_stellata	1	16976	17094	69539
Geotrypetes_seraphini	1	178899	273291	495748
Globicephala_melas	1	27978	65010	233916
Gopherus_flavomarginatus	1	32438	545561	310950
Gorilla_gorilla_gorilla	1	42596	93754	121732
Grus_americana	1	16172	15791	64128
Gymnogyps_californianus	1	17080	16262	67786
Halichoerus_grypus	1	26997	68364	105129
Heliangelus_exortis	1	27646	15183	87031
Hemicordylus_capensis	0	20304	664	99893
Heteronotia_binoei	0	31346	5208	177528
Hippopotamus_amphibius_kiboko	1	27131	64579	187997
Hirundo_rustica	1	15537	13147	100684
Hylobates_moloch	1	39562	83870	123138
Jaculus_jaculus	1	43030	126919	141570
Lacerta_agilis	0	18012	5563	77886
Lagenorhynchus_albirostris	1	30557	58481	223444
Lagopus_muta	1	15192	9508	54678
Lemur_catta	1	27103	57430	213856
Leopardus_geoffroyi	1	28163	73684	109115
Lepus_europaeus	1	36071	70833	107793
Loxodonta_africana	1	30284	83583	107915
Lutra_lutra	1	29456	67244	105308
Lynx_canadensis	1	28485	85998	109030
Lynx_rufus	1	28242	86801	109487
Macaca_fascicularis	1	40418	85407	123714
Macaca_mulatta	1	40680	85081	122945
Macaca_nemestrina	1	40598	83309	123554
Macaca_thibetana_thibetana	1	40603	85280	123303
Malaclemys_terrapin_pileata	1	32064	503979	225452
Manis_pentadactyla	1	23351	62271	106685
Marmota_flaviventris	1	30042	70029	116437
Marmota_monax	1	30001	69751	109238
Mauremys_reevesii	1	31071	415970	237855
Meles_meles	1	27365	65599	105680
Melopsittacus_undulatus	1	16423	13659	72552
Meriones_unguiculatus	1	35399	61052	113816
Mesocricetus_auratus	1	33192	68540	119684
Mesoplodon_densirostris	1	28465	70333	204401
Microcebus_murinus	1	28838	64974	109016
Microtus_oregoni	1	35151	61109	123185
Mirounga_angustirostris	1	27743	68573	113905
Mobula_hypostoma	1	118280	331124	2521686
Molothrus_aeneus	1	14600	12292	71486
Molothrus_ater	1	14625	12273	10181963
Monodon_monoceros	1	28195	66378	211740
Moschus_berezovskii	1	25539	71637	38774634
Mus_musculus	1	35511	69092	111224
Mustela_erminea	1	27756	66222	105760
Mustela_lutreola	1	27583	66704	104150
Mustela_putorius_furo	1	27176	66424	103731
Myotis_myotis	1	28562	76409	103125
Myotis_yumanensis	1	28797	77747	100836
Narcine_bancroftii	1	168846	286965	3251637
Neofelis_nebulosa	1	28235	87605	110633
Neogale_vison	1	26421	65612	105060
Nyctereutes_procyonoides	1	28077	69395	108246
Nycticebus_coucang	1	37806	85548	107583
Ochotona_curzoniae	1	30261	58407	88953
Ochotona_princeps	1	30062	63097	230617
Oenanthe_melanoleuca	1	15529	12155	861826
Orcinus_orca	1	27990	38971	219168
Ornithorhynchus_anatinus	1	32756	55089	205326
Oryctolagus_cuniculus	1	36353	66673	107299
Ovis_aries	1	25801	68577	38328796
Ovis_canadensis	1	25947	70885	38275800
Pan_paniscus	1	43120	85932	122882
Panthera_leo	1	27800	85341	184002
Panthera_pardus	1	28008	86289	109405
Panthera_tigris	1	28012	85603	184523
Pantherophis_guttatus	0	23010	4633	66218
Pan_troglodytes	1	43148	86566	333651
Patagioenas_fasciata	1	16159	13526	63502
Pelobates_fuscus	1	43482	94443	229575
Perognathus_longimembris_pacificus	1	21299	40186	93104
Peromyscus_californicus_insignis	1	41208	63505	121784
Peromyscus_leucopus	1	40402	62849	126603
Phacochoerus_africanus	1	30899	80651	208710
Phaenicophaeus_curvirostris	1	16636	19432	7092866
Phascolarctos_cinereus	1	32452	111319	151854
Phocoena_phocoena	1	28800	66623	399314
Phocoena_sinus	1	28061	64352	219417
Phodopus_roborovskii	1	34396	60810	120877
Phyllostomus_discolor	1	26116	68553	169976
Phyllostomus_hastatus	1	25658	66275	99928
Pipistrellus_kuhlii	1	25851	89800	95671
Pipra_filicauda	1	15914	19455	61313
Pituophis_catenifer_annectens	0	22705	23363	61982
Pleurodeles_waltl	1	246251	1131404	1657672
Podarcis_raffonei	0	19092	3314	73437
Pongo_abelii	1	43591	84256	119323
Pongo_pygmaeus	1	43352	84263	120745
Prinia_subflava	1	15492	12481	8404991
Prionailurus_bengalensis	1	27873	86675	108875
Prionailurus_viverrinus	1	28404	86366	109842
Pristis_pectinata	1	58584	209771	1499773
Pseudophryne_corroboree	1	117864	316681	295371
Pseudopipra_pipra	1	16623	19273	59439
Pseudorca_crassidens	1	28011	64592	213829
Rana_temporaria	1	20207	116660	80873
Ranitomeya_imitator	1	44883	54842	87117
Rattus_norvegicus	1	34494	68447	109521
Rhea_pennata	1	17453	10765	103653
Rhineura_floridana	0	41291	5356	417601
Rhinolophus_ferrumequinum	1	25192	64508	105578
Rhinopithecus_roxellana	1	41135	83907	124701
Rissa_tridactyla	1	17023	17032	72801
Rousettus_aegyptiacus	1	21876	62378	99969
Saccopteryx_bilineata	1	36935	89427	107578
Saccopteryx_leptura	1	34629	88527	110292
Saimiri_boliviensis	1	36270	89622	131901
Sarcophilus_harrisii	1	32194	119744	121030
Sciurus_carolinensis	1	8404	77525	110043
Scyliorhinus_canicula	1	136250	486299	3261164
Sorex_araneus	1	21308	58721	66595
Sorex_fumeus	1	21868	58597	56462
Spea_bombifrons	1	10378	13978	189376
Sphaerodactylus_townsendi	0	20936	622	111381
Struthio_camelus	1	18288	19052	114112
Suncus_etruscus	1	34030	66954	67513
Sus_scrofa	1	32129	81708	212966
Symphalangus_syndactylus	1	40202	86451	285706
Talpa_occidentalis	1	25208	66649	171665
Thamnophis_elegans	0	17446	0	44236
Trachypithecus_francoisi	1	42647	79401	124512
Trichosurus_vulpecula	1	31885	121507	155274
Tursiops_truncatus	1	28007	64521	215239
Tympanuchus_pallidicinctus	1	15215	11117	54065
Tyto_alba	1	17582	16582	67235
Ursus_americanus	1	26635	61891	107589
Ursus_arctos	1	26155	62458	107214
Vulpes_lagopus	1	24246	78187	108521
Xenopus_tropicalis	1	20432	81375	121884
Zalophus_californianus	1	27523	68872	111852
Zootoca_vivipara	0	16744	2986	81992
