Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN	
Mammalia	Artiodactyla	Dama_dama	Dama_dama	33005	35835	168153	244577	36612062	462	132780	209204	36648359	128666	205090	36651189	74212	36783507	36859931	
Mammalia	Cingulata	Dasypus_novemcinctus	Dasypus_novemcinctus	44027	47158	199582	320181	830578	763	153187	273786	784183	149312	269911	780308	118615	629012	508047	
Amphibia	Anura	Dendropsophus_ebraccatus	Dendropsophus_ebraccatus	25825	28584	142450	178120	267553	442	114308	149978	239411	110214	145884	235317	33464	122897	87116	
	Testudines	Dermochelys_coriacea	Dermochelys_coriacea	62342	65802	495759	697817	3815526	1323	561498	763556	3751047	564958	767016	3746084	199756	4314682	4516740	
Mammalia	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	34940	37750	161068	256005	538354	445	123763	218700	501049	119666	214603	496952	92719	375068	280008	
Mammalia	Perissodactyla	Diceros_bicornis	Diceros_bicornis	39849	42540	176676	287036	616151	464	134600	244960	574075	130484	240844	569959	108046	437161	326765	
	Casuariiformes	Dromaius_novaehollandiae	Dromaius_novaehollandiae	21559	24329	88412	200313	359598	417	64500	176401	335686	60431	172332	331617	109620	268905	156944	
Mammalia	Microbiotheria	Dromiciops_gliroides	Dromiciops_gliroides	63263	66321	270689	402788	988960	699	205067	337166	923338	200716	332815	918987	129929	716101	583717	
Mammalia	Proboscidea	Elephas_maximus	Elephas_maximus	67198	70041	226016	330396	770145	583	156558	260938	700687	152323	256703	696452	102147	541896	437399	
Amphibia	Anura	Eleutherodactylus_coqui	Eleutherodactylus_coqui	25117	27777	112275	155193	259972	343	84841	127759	232538	80846	123764	228543	40706	145485	102480	
Lepidosauria	Squamata	Elgaria_multicarinata	Elgaria_multicarinata	61853	65342	223982	332104	535031	1220	159860	267982	470909	154988	263110	466037	105919	308846	200574	
	Testudines	Emys_orbicularis	Emys_orbicularis	52780	57622	1159733	1384380	1770636	2774	1215808	1440455	1826711	1220650	1445297	1831553	222417	608673	383918	
Mammalia	Chiroptera	Eptesicus_fuscus	Eptesicus_fuscus	38071	40813	177023	273882	567239	833	137043	233902	527259	132558	229417	522774	94641	387998	291007	
