Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN	
Lepidosauria	Squamata	Podarcis_raffonei	Podarcis_raffonei	34733	38049	126846	199214	326106	1320	90117	162485	289377	85145	157513	284405	70165	197057	124533	
Cladistia	Polypteriformes	Polypterus_senegalus	Polypterus_senegalus	70660	81498	35702645	35951288	14334935	8545	35629692	35878335	14261982	35617495	35866138	14249785	246455	21352355	21600998	
Mammalia	Primates	Pongo_abelii	Pongo_abelii	63286	66109	221232	339222	766064	467	155590	273580	700422	151471	269461	696303	115928	542770	424495	
Mammalia	Primates	Pongo_pygmaeus	Pongo_pygmaeus	63316	66140	221457	335693	816872	456	155773	270009	751188	151665	265901	747080	112174	593353	478832	
Aves	Passeriformes	Prinia_subflava	Prinia_subflava	17404	20166	72053	132611	8367797	418	52305	112863	8388460	48235	108793	8391222	58325	8443109	8503667	
Mammalia	Carnivora	Prionailurus_bengalensis	Prionailurus_bengalensis	41326	44127	200093	303614	643051	436	156402	259923	599360	152314	255835	595272	101402	440839	337081	
Mammalia	Carnivora	Prionailurus_viverrinus	Prionailurus_viverrinus	41585	44387	200764	304301	669092	437	156814	260351	625142	152725	256262	621053	101427	466218	362441	
Chondrichthyes		Pristiophorus_japonicus	Pristiophorus_japonicus	501058	537592	1266099	1792093	1890230	34214	762721	1288715	2394652	724855	1250849	2431186	523740	3159693	3685687	
Chondrichthyes	Rhinopristiformes	Pristis_pectinata	Pristis_pectinata	286766	300831	706945	1054594	945217	11748	417862	765511	1235329	402270	749919	1249394	345395	1655508	2003157	
	Ceratodontiformes	Protopterus_annectens	Protopterus_annectens	3040835	3043684	9985495	13653415	21265855	493	13029640	16697560	24310000	13032489	16700409	24312849	3665690	11278130	7610096	
Amphibia	Anura	Pseudophryne_corroboree	Pseudophryne_corroboree	255938	258703	773454	1030428	1534194	445	515196	772170	1275936	511099	768073	1271839	254765	758531	501440	
	Passeriformes	Pseudopipra_pipra	Pseudopipra_pipra	17667	20471	79316	136965	157564	460	59305	116954	137553	55193	112842	133441	55416	76015	18261	
Mammalia	Artiodactyla	Pseudorca_crassidens	Pseudorca_crassidens	40120	42911	174150	382909	808792	486	131725	340484	766367	127587	336346	762229	206316	632199	423464	
Amphibia	Anura	Rana_temporaria	Rana_temporaria	26848	30083	250048	326796	477151	918	220883	297631	447986	216313	293061	443416	74527	224882	148044	
Amphibia	Anura	Ranitomeya_imitator	Ranitomeya_imitator	60565	63242	198532	284441	425586	360	135650	221559	362704	131638	217547	358692	83700	224845	138828	
