Species	PUM1-SDC3	PUM1-MATN1	PUM1-PTPRU	SDC3-MATN1	SDC3-PTPRU	MATN1-PTPRU	
Globicephala_melas	42796	183742	1406555	136822	1359635	1214969	
Gopherus_flavomarginatus	30720	622654	1656100	417858	1451304	1001725	
Gorilla_gorilla	24791	211470	1611355	151252	1551137	1390466	
Grus_americana	5870	292276	868816	243522	820062	555405	
Gymnogyps_californianus	6781	295503	876416	244400	825313	559441	
Haliaeetus_albicilla	5944	293751	880658	244067	830974	565344	
Hemicordylus_capensis	15786	162645	860110	55003	752468	672358	
Heteronotia_binoei	22604	275740	1414164	103611	1242035	1102380	
Hippopotamus_amphibius	14169	183875	1427516	136185	1379826	1235880	
Hirundo_rustica	7718	187771	648752	131940	592921	438780	
Homo_sapiens	24625	209660	1607550	149660	1547550	1387921	
Hyla_sarda	3606567	2566785	1941441	1026379	1525225	485443	
Hyperolius_riggenbachi	14034013	12972680	12424130	1037065	1356460	295127	
Ictidomys_tridecemlineatus	30494	151704	982929	110784	942009	823131	
Indicator_indicator	9135	382629	1172958	319069	1109398	756961	
Jaculus_jaculus	13825	217497	1870505	167859	1820867	1643858	
Lacerta_agilis	18912	184219	793777	47084	656642	588781	
Lagenorhynchus_albirostris	43776	185808	1424296	137968	1376456	1230679	
Lagopus_muta	4878	206938	2213843	183986	2281966	2484026	
Lathamus_discolor	4737	244239	721727	205011	682499	458401	
Lemur_catta	48830	184198	1183779	131660	1131241	990946	
Leopardus_geoffroyi	12438	178377	1250206	134662	1206491	1063250	
Lepus_europaeus	42437	185398	1018862	139460	972924	825618	
Lonchura_striata	7338	206135	680899	151951	626715	454435	
Loxodonta_africana	51543	236971	2107215	181251	2051495	1858793	
Lutra_lutra	14435	180516	1277581	133088	1230153	1088502	
Macaca_fascicularis	24712	211664	1614575	151692	1554603	1392998	
Macaca_mulatta	54213	211854	1624762	151922	1564830	1403010	
Macaca_nemestrina	24697	211842	1615506	151896	1555560	1393764	
Macaca_thibetana	53980	211170	1579627	151473	1519930	1358540	
Malaclemys_terrapin	23720	599865	1662784	402584	1465503	1024881	
Manis_pentadactyla	11419	167888	1272701	124275	1229088	1095804	
Marmota_flaviventris	11287	153584	1033354	111510	991280	873034	
Mastomys_coucha	12916	178059	1042114	135349	999404	848781	
Mauremys_mutica	28069	604975	1603659	391709	1390393	965218	
Mauremys_reevesii	25700	606357	1586011	394676	1374330	949561	
Meles_meles	14442	174946	1291537	127165	1243756	1108034	
Melopsittacus_undulatus	4706	226252	673436	189842	637026	430120	
Melospiza_georgiana	7669	207464	756713	152237	701486	526948	
Melospiza_melodia	5005	213996	774626	157868	718498	536820	
Meriones_unguiculatus	12270	142335	901803	102570	862038	751173	
Mesoplodon_densirostris	43145	190133	1437179	143052	1390098	1239235	
Microcaecilia_unicolor	179184	811192	1850958	320879	1360645	990052	
Microcebus_murinus	53655	191658	1263142	134261	1205745	1063823	
Microtus_ochrogaster	10705	158441	956653	115639	913851	788701	
Molothrus_aeneus	7075	193783	721695	148014	675926	506699	
Molothrus_ater	7137	197613	721421	152607	676415	503228	
Monodelphis_domestica	59042	319662	1870952	198823	1750113	1519021	
Motacilla_alba	7819	231774	688524	181115	637865	436611	
Muntiacus_reevesi	13892	196915	1505587	146127	1454799	1299344	
Mus_caroli	12320	161016	987304	119108	945396	817534	
Mus_musculus	12768	164521	989595	121615	946689	814482	
Mus_pahari	11359	158262	1030391	117319	989448	863853	
Mustela_erminea	13991	177179	1239047	129767	1191635	1053324	
Mustela_lutreola	14079	178744	1239633	130839	1191728	1052398	
Mustela_nigripes	14289	169546	1245895	121487	1197836	1058913	
Myotis_daubentonii	13792	168077	859792	121174	812889	682758	
Neofelis_nebulosa	12149	175663	1240953	131229	1196519	1056849	
Neogale_vison	44530	180304	1229625	132124	1181445	1040772	
Neomonachus_schauinslandi	43129	181643	1250556	133015	1201928	1059920	
Numida_meleagris	19700	206128	2328428	182891	2411791	2598219	
Nyctibius_grandis	6495	296628	879636	243201	826209	564348	
Nycticebus_coucang	26616	205172	1397209	144279	1336316	1182179	
Ochotona_princeps	8914	177327	1031012	138889	992574	846257	
Odocoileus_virginianus	10024	194389	1516180	146031	1467822	1312502	
Oenanthe_melanoleuca	4496	122784	463948	84887	426051	331011	
Onychomys_torridus	12648	161655	978063	120278	936686	807612	
Orcinus_orca	13547	187190	1403720	139926	1356456	1208686	
Ornithorhynchus_anatinus	8538	65756	87784	34288	56316	13143	
Oryctolagus_cuniculus	11296	181502	1010107	138213	966818	822018	
Ovis_aries	14698	205302	1588119	156087	1538904	1373907	
Ovis_canadensis	11466	205306	1587028	156017	1537739	1372675	
Oxyura_jamaicensis	27523	238502	736582	207500	705580	482283	
