Order	Species_name	Num_Gaps	PUM1_SDC3	PUM1_MATN1	PUM1_PTPRU	SDC3_MATN1	SDC3_PTPRU	MATN1_PTPRU
Accipitriformes	Haliaeetus_albicilla	0	5944	293751	880658	244067	830974	565344
Squamata	Hemicordylus_capensis	0	15786	162645	860110	55003	752468	672358
Squamata	Heteronotia_binoei	0	22604	275740	1414164	103611	1242035	1102380
Artiodactyla	Hippopotamus_amphibius	0	14169	183875	1427516	136185	1379826	1235880
Passeriformes	Hirundo_rustica	1	7718	187771	648752	131940	592921	438780
Primates	Homo_sapiens	1	24625	209660	1607550	149660	1547550	1387921
Anura	Hyla_sarda	1	3606567	2566785	1941441	1026379	1525225	485443
Anura	Hyperolius_riggenbachi	15	14034013	12972680	12424130	1037065	1356460	295127
Rodentia	Ictidomys_tridecemlineatus	95	30494	151704	982929	110784	942009	823131
Piciformes	Indicator_indicator	0	9135	382629	1172958	319069	1109398	756961
Rodentia	Jaculus_jaculus	0	13825	217497	1870505	167859	1820867	1643858
Squamata	Lacerta_agilis	0	18912	184219	793777	47084	656642	588781
Artiodactyla	Lagenorhynchus_albirostris	1	43776	185808	1424296	137968	1376456	1230679
Galliformes	Lagopus_muta	1	4878	206938	2213843	183986	2281966	2484026
Psittaciformes	Lathamus_discolor	0	4737	244239	721727	205011	682499	458401
Primates	Lemur_catta	0	48830	184198	1183779	131660	1131241	990946
Carnivora	Leopardus_geoffroyi	0	12438	178377	1250206	134662	1206491	1063250
Lagomorpha	Lepus_europaeus	1	42437	185398	1018862	139460	972924	825618
Passeriformes	Lonchura_striata	76	7338	206135	680899	151951	626715	454435
Proboscidea	Loxodonta_africana	0	51543	236971	2107215	181251	2051495	1858793
Carnivora	Lutra_lutra	0	14435	180516	1277581	133088	1230153	1088502
Primates	Macaca_fascicularis	0	24712	211664	1614575	151692	1554603	1392998
Primates	Macaca_mulatta	0	54213	211854	1624762	151922	1564830	1403010
Primates	Macaca_nemestrina	0	24697	211842	1615506	151896	1555560	1393764
Primates	Macaca_thibetana	0	53980	211170	1579627	151473	1519930	1358540
Pholidota	Manis_pentadactyla	0	11419	167888	1272701	124275	1229088	1095804
Rodentia	Marmota_flaviventris	0	11287	153584	1033354	111510	991280	873034
Rodentia	Mastomys_coucha	74	12916	178059	1042114	135349	999404	848781
Carnivora	Meles_meles	0	14442	174946	1291537	127165	1243756	1108034
Psittaciformes	Melopsittacus_undulatus	0	4706	226252	673436	189842	637026	430120
Passeriformes	Melospiza_georgiana	0	7669	207464	756713	152237	701486	526948
Passeriformes	Melospiza_melodia	0	5005	213996	774626	157868	718498	536820
Rodentia	Meriones_unguiculatus	0	12270	142335	901803	102570	862038	751173
Artiodactyla	Mesoplodon_densirostris	0	43145	190133	1437179	143052	1390098	1239235
Gymnophiona	Microcaecilia_unicolor	2	179184	811192	1850958	320879	1360645	990052
Primates	Microcebus_murinus	13	53655	191658	1263142	134261	1205745	1063823
Rodentia	Microtus_ochrogaster	89	10705	158441	956653	115639	913851	788701
Passeriformes	Molothrus_aeneus	0	7075	193783	721695	148014	675926	506699
Passeriformes	Molothrus_ater	0	7137	197613	721421	152607	676415	503228
Didelphimorphia	Monodelphis_domestica	1	59042	319662	1870952	198823	1750113	1519021
Passeriformes	Motacilla_alba	1	7819	231774	688524	181115	637865	436611
Artiodactyla	Muntiacus_reevesi	0	13892	196915	1505587	146127	1454799	1299344
Rodentia	Mus_caroli	71	12320	161016	987304	119108	945396	817534
Rodentia	Mus_musculus	0	12768	164521	989595	121615	946689	814482
Rodentia	Mus_pahari	98	11359	158262	1030391	117319	989448	863853
Carnivora	Mustela_erminea	0	13991	177179	1239047	129767	1191635	1053324
Carnivora	Mustela_lutreola	0	14079	178744	1239633	130839	1191728	1052398
Carnivora	Mustela_nigripes	17	14289	169546	1245895	121487	1197836	1058913
Chiroptera	Myotis_daubentonii	0	13792	168077	859792	121174	812889	682758
Carnivora	Neofelis_nebulosa	0	12149	175663	1240953	131229	1196519	1056849
Carnivora	Neogale_vison	0	44530	180304	1229625	132124	1181445	1040772
Carnivora	Neomonachus_schauinslandi	19	43129	181643	1250556	133015	1201928	1059920
Galliformes	Numida_meleagris	93	19700	206128	2328428	182891	2411791	2598219
Caprimulgiformes	Nyctibius_grandis	0	6495	296628	879636	243201	826209	564348
Primates	Nycticebus_coucang	0	26616	205172	1397209	144279	1336316	1182179
Lagomorpha	Ochotona_princeps	0	8914	177327	1031012	138889	992574	846257
Artiodactyla	Odocoileus_virginianus	0	10024	194389	1516180	146031	1467822	1312502
Passeriformes	Oenanthe_melanoleuca	1	4496	122784	463948	84887	426051	331011
Rodentia	Onychomys_torridus	0	12648	161655	978063	120278	936686	807612
Artiodactyla	Orcinus_orca	0	13547	187190	1403720	139926	1356456	1208686
Monotremata	Ornithorhynchus_anatinus	0	8538	65756	87784	34288	56316	13143
Lagomorpha	Oryctolagus_cuniculus	1	11296	181502	1010107	138213	966818	822018
Artiodactyla	Ovis_aries	0	14698	205302	1588119	156087	1538904	1373907
Artiodactyla	Ovis_canadensis	0	11466	205306	1587028	156017	1537739	1372675
Anseriformes	Oxyura_jamaicensis	7	27523	238502	736582	207500	705580	482283
Primates	Pan_paniscus	0	24668	212518	1611304	152007	1550793	1388815
Carnivora	Panthera_leo	0	20379	175865	1226152	131456	1181743	1041231
Carnivora	Panthera_onca	0	36875	167560	1109987	127448	1069875	934939
Carnivora	Panthera_tigris	0	12441	175353	1221951	131094	1177692	1037637
Carnivora	Panthera_uncia	29	43268	178607	1228407	129815	1179615	1038207
Primates	Pan_troglodytes	0	24693	211654	1606623	151134	1546103	1385009
Primates	Papio_anubis	1	54119	218388	1598591	158555	1538758	1370318
Passeriformes	Parus_major	152	55855	166924	500227	86328	419631	318874
Passeriformes	Passer_domesticus	0	7886	178680	639498	129905	590723	441443
Columbiformes	Patagioenas_fasciata	0	4748	184654	510947	151778	478071	312768
Anura	Pelobates_fuscus	0	4953949	3228703	2719927	1709213	2165625	440379
