Species_name	Num_Gaps	PUM1_SDC3	SDC3_MATN1	MATN1_PTPRU	Gene_status
Phyllostomus_discolor	0	12399	124875	745842	1
Piliocolobus_tephrosceles	114	56073	151603	5536886	1
Pithys_albifrons	2	9211	247258	543148	1
Pleurodeles_waltl	0	417369	136133317	14375647	1
Podarcis_muralis	3	22514	51301	716494	0
Podarcis_raffonei	0	22076	57177	639633	0
Poecile_atricapillus	0	5008	62000	293459	1
Pogoniulus_pusillus	0	10113	370813	858088	1
Pongo_abelii	0	24736	150896	1404097	1
Pongo_pygmaeus	0	25536	151240	1408549	1
Prinia_subflava	0	6309	124103	438423	1
Prionailurus_bengalensis	0	11147	132020	1051804	1
Pseudophryne_corroboree	3	8414048	1837948	736764	1
Pseudopipra_pipra	1	7692	232245	475917	1
Pseudorca_crassidens	0	13793	137452	1222836	1
Ranitomeya_imitator	1	26152713	5056914	1040234	1
Rattus_norvegicus	0	13011	122526	825361	1
Rhea_pennata	1	6397	250406	555933	1
Rhinatrema_bivittatum	0	44054	180957	748672	1
Rhineura_floridana	1	23719	43843	873652	0
Rhinolophus_ferrumequinum	0	12788	139433	823312	1
Rhinopithecus_roxellana	1	24443	151465	1417263	1
Rissa_tridactyla	0	8751	253880	598453	1
Saccopteryx_bilineata	0	9681	133081	825439	1
Saccopteryx_leptura	1	12203	135449	840912	1
Sarcophilus_harrisii	0	53922	201763	1344146	1
Sciurus_carolinensis	0	10065	115435	928525	1
Serinus_canaria	2	7252	64923	334521	1
Sorex_araneus	3	11840	149049	893775	1
Spea_bombifrons	0	6259663	272656	85332	1
Sphaerodactylus_townsendi	0	10519	65534	938816	0
Strigops_habroptila	0	5157	219042	484186	1
Struthio_camelus	0	8201	255567	562822	1
Suncus_etruscus	0	12233	182992	984330	1
Suricata_suricatta	46	37034	134577	991808	1
Sus_scrofa	0	12441	147569	1115482	1
Sylvia_atricapilla	1	5902	120935	401717	1
Tachyglossus_aculeatus	0	10225	31093	15277	1
Taeniopygia_guttata	0	6129	135839	451042	1
Thamnophis_elegans	1	23021	25549	738186	0
Theropithecus_gelada	14	24656	149938	1380627	1
Trichosurus_vulpecula	3	71379	195998	1405541	1
Tursiops_truncatus	0	13577	137200	1204486	1
Ursus_arctos	0	12309	132379	1032173	1
Vidua_chalybeata	3	6356	130043	460468	1
Vidua_macroura	0	7451	129528	436565	1
Vulpes_lagopus	0	12377	137956	1065836	1
Xenopus_tropicalis	0	3576253	261115	83049	1
Zalophus_californianus	0	10697	130777	1121280	1
Zonotrichia_leucophrys	0	7050	148998	506234	1
Zootoca_vivipara	1	22952	54386	609938	0
