Order	Species_name	Num_Gaps	PUM1_SDC3	PUM1_MATN1	PUM1_PTPRU	SDC3_MATN1	SDC3_PTPRU	MATN1_PTPRU	Gene_status
Cingulata	Dasypus_novemcinctus	0	14713	196106	1904292	147948	1856134	1699832	Intact
Artiodactyla	Delphinus_delphis	0	13572	185764	1399539	137885	1351660	1205957	Intact
Chiroptera	Desmodus_rotundus	0	12663	168639	967458	123296	922115	789618	Intact
Perissodactyla	Diceros_bicornis	0	10684	183241	1446658	135534	1398951	1253916	Intact
Microbiotheria	Dromiciops_gliroides	0	66741	333694	1806760	200345	1673411	1444064	Intact
Proboscidea	Elephas_maximus	0	16619	236979	2110878	181274	2055173	1862238	Intact
Squamata	Elgaria_multicarinata	0	28290	180962	956232	48903	824173	755945	Loss
Chiroptera	Eptesicus_fuscus	0	11708	172221	866048	126577	820404	684647	Intact
Perissodactyla	Equus_asinus	0	12489	179260	1343534	132650	1296924	1155100	Intact
Perissodactyla	Equus_caballus	0	12371	178712	1340961	132187	1294436	1153121	Intact
Perissodactyla	Equus_przewalskii	0	12365	179087	1341476	132571	1294960	1153340	Intact
Perissodactyla	Equus_quagga	16	12394	178862	1344303	132383	1297824	1156183	Intact
Eulipotyphla	Erinaceus_europaeus	5	13894	252521	1591192	199426	1538097	1304590	Intact
Squamata	Erythrolamprus_reginae	0	38725	206474	1025424	45259	864209	789044	Loss
Artiodactyla	Eschrichtius_robustus	0	13490	183813	1427985	136506	1380678	1236229	Intact
Artiodactyla	Eubalaena_glacialis	0	42982	182760	1434381	135831	1387452	1243669	Intact
Squamata	Eublepharis_macularius	0	15306	167824	942352	57188	831716	741448	Loss
Primates	Eulemur_rufifrons	0	49224	186916	1183020	133997	1130101	987331	Intact
Squamata	Euleptes_europaea	0	17273	205033	1082710	62823	940500	837918	Loss
Carnivora	Felis_catus	0	12166	177113	1237241	133369	1193497	1051519	Intact
Artiodactyla	Globicephala_melas	0	42796	183742	1406555	136822	1359635	1214969	Intact
Primates	Gorilla_gorilla	0	24791	211470	1611355	151252	1551137	1390466	Intact
Squamata	Hemicordylus_capensis	0	15786	162645	860110	55003	752468	672358	Loss
Squamata	Heteronotia_binoei	0	22604	275740	1414164	103611	1242035	1102380	Loss
Artiodactyla	Hippopotamus_amphibius	0	14169	183875	1427516	136185	1379826	1235880	Intact
Primates	Homo_sapiens	1	24625	209660	1607550	149660	1547550	1387921	Intact
Rodentia	Ictidomys_tridecemlineatus	95	30494	151704	982929	110784	942009	823131	Intact
Rodentia	Jaculus_jaculus	0	13825	217497	1870505	167859	1820867	1643858	Intact
Squamata	Lacerta_agilis	0	18912	184219	793777	47084	656642	588781	Loss
Artiodactyla	Lagenorhynchus_albirostris	1	43776	185808	1424296	137968	1376456	1230679	Intact
Primates	Lemur_catta	0	48830	184198	1183779	131660	1131241	990946	Intact
Carnivora	Leopardus_geoffroyi	0	12438	178377	1250206	134662	1206491	1063250	Intact
Lagomorpha	Lepus_europaeus	1	42437	185398	1018862	139460	972924	825618	Intact
Proboscidea	Loxodonta_africana	0	51543	236971	2107215	181251	2051495	1858793	Intact
Carnivora	Lutra_lutra	0	14435	180516	1277581	133088	1230153	1088502	Intact
Primates	Macaca_fascicularis	0	24712	211664	1614575	151692	1554603	1392998	Intact
Primates	Macaca_mulatta	0	54213	211854	1624762	151922	1564830	1403010	Intact
Primates	Macaca_nemestrina	0	24697	211842	1615506	151896	1555560	1393764	Intact
